SPECID,CATAID,WHAN,BPT,bayes.agn.fracAGN,bayes.agn.fracAGN_err,bayes.sfh.age,bayes.sfh.age_err,bayes.sfh.age_main,bayes.sfh.age_main_err,bayes.stellar.age_m_star,bayes.stellar.age_m_star_err,bayes.dust.mass,bayes.dust.mass_err,bayes.sfh.sfr,bayes.sfh.sfr_err,bayes.sfh.sfr100Myrs,bayes.sfh.sfr100Myrs_err,bayes.stellar.m_gas,bayes.stellar.m_gas_err,bayes.stellar.m_star,bayes.stellar.m_star_err,best.chi_square,best.reduced_chi_square,best.agn.EBV,best.agn.beta,best.agn.delta,best.agn.disk_type,best.agn.emissivity,best.agn.fracAGN,best.agn.gamma,best.agn.law,best.agn.opening_angle,best.agn.psy,best.agn.r_ratio,best.agn.tau,best.agn.temperature,best.attenuation.B_B90,best.attenuation.E_BV_factor,best.attenuation.E_BV_lines,best.attenuation.E_BVs,best.attenuation.FUV,best.attenuation.V_B90,best.attenuation.powerlaw_slope,best.attenuation.uv_bump_amplitude,best.attenuation.uv_bump_wavelength,best.attenuation.uv_bump_width,best.dust.alpha,best.dust.gamma,best.dust.qhac,best.dust.umin,best.nebular.f_dust,best.nebular.f_esc,best.nebular.lines_width,best.nebular.logU,best.nebular.ne,best.nebular.zgas,best.sfh.age,best.sfh.age_burst,best.sfh.age_main,best.sfh.f_burst,best.sfh.tau_burst,best.sfh.tau_main,best.stellar.age_m_star,best.stellar.imf,best.stellar.metallicity,best.stellar.old_young_separation_age,best.universe.age,best.universe.luminosity_distance,best.universe.redshift,best.agn.accretion_power,best.agn.disk_luminosity,best.agn.intrin_Lnu_2500A_30deg,best.agn.luminosity,best.agn.polar_dust_luminosity,best.agn.torus_dust_luminosity,best.agn.total_dust_luminosity,best.dust.luminosity,best.dust.mass,best.sfh.integrated,best.sfh.sfr,best.sfh.sfr100Myrs,best.sfh.sfr10Myrs,best.stellar.lum,best.stellar.lum_ly,best.stellar.lum_ly_old,best.stellar.lum_ly_young,best.stellar.lum_old,best.stellar.lum_young,best.stellar.m_gas,best.stellar.m_gas_old,best.stellar.m_gas_young,best.stellar.m_star,best.stellar.m_star_old,best.stellar.m_star_young,best.stellar.n_ly,best.stellar.n_ly_old,best.stellar.n_ly_young,best.galex.FUV,best.galex.NUV,best.sdss.up,best.sdss.gp,best.sdss.rp,best.sdss.ip,best.sdss.zp,best.vista.vircam.Z,best.vista.vircam.Y,best.vista.vircam.J,best.vista.vircam.H,best.vista.vircam.Ks,best.WISE1,best.WISE2,best.WISE3,best.WISE4,best.herschel.pacs.100,best.herschel.pacs.160,best.PSW_ext,best.PMW_ext,best.PLW_ext
1031470589610584064,463453,sAGN,AGNXY,0.1484669040470864,0.0519158741608955,4321.581514491098,1192.5719935783125,4321.581514491098,1192.5719935783125,1700.9618837538474,623.8394196410768,9.248812199773738e+37,2.5014287612806176e+37,3.828967653022826,0.5775756889971817,3.856335833828298,0.5755493677911384,5109486311.380572,1220545686.6887794,7551354361.456501,1518160824.9787257,19.375372708069467,1.076409594892748,0.03,-0.5,0.36,1.0,1.6,0.1,2.0,0.0,60.0,80.1,60.0,1.0,100.0,0.540641057763134,0.25,0.4,0.1,1.060229628737975,0.4251301140659231,0.0,0.0,217.5,35.0,2.0,0.1,0.06,1.0,0.0,0.0,300.0,-3.0,100.0,0.019,5000.0,250.0,5000.0,0.01,800.0,5000.0,1847.7041254900464,1.0,0.02,10.0,11990.797557902148,2.02900461377695e+25,0.1396,6.072170919477329e+36,5.1331457669175e+36,1.0588403075474656e+21,6.40229536044483e+36,4.694104338446325e+35,7.997391596826973e+35,1.26914959352733e+36,1.1422346341745962e+37,1.1554101800777382e+38,14178833296.121183,4.392496136470421,4.423421909916595,4.395223379906556,2.5433488433490726e+37,2.129896921413905e+36,1.5881555531689017e+34,2.114015365882216e+36,1.455205783464093e+37,1.0881430598849797e+37,5766021901.306935,5763415451.807879,2606449.499055041,8412811381.651915,8371465610.514242,41345771.13767314,6.448144761612772e+53,4.486656648291627e+51,6.403278195129855e+53,0.0560241559684286,0.0707366725612919,0.0912378704983312,0.1588606917139669,0.2269630472694632,0.2848793868355236,0.3224799538567449,0.3172581360554525,0.3730208536240995,0.4424749158123455,0.5243305244503826,0.6062192157077853,0.5603949313366358,0.5796395311576024,2.3684859338115074,5.144014132198809,25.237465911959102,38.62867668136695,31.59483677674989,18.18907642882603,7.976519992384705
1034794413781444608,492762,sAGN,UNCXY,0.3791111144274215,0.0606441034705791,5517.105313358927,3737.195395614661,5517.105313358927,3737.195395614661,3513.891316339134,2115.7932398730763,3.6987966992851214e+37,2.07369614783102e+37,0.8356409585491541,0.7756632180294162,0.9237825126895436,0.8458163445044689,41801473293.25128,17030309666.332512,53034092457.95082,16815652050.553062,32.213736263804655,1.6106868131902328,0.03,-0.5,0.36,1.0,1.6,0.3,2.0,0.0,60.0,50.1,60.0,1.0,100.0,0.6292499958603497,0.25,0.6,0.15,1.6755638810091986,0.4771312182885711,-0.25,0.0,217.5,35.0,3.0,0.1,0.06,10.0,0.0,0.0,300.0,-3.0,100.0,0.019,3500.0,250.0,3500.0,0.01,100.0,500.0,2473.623900804368,1.0,0.02,10.0,12538.46136917422,1.314269688973213e+25,0.0933,2.6369971143373406e+37,2.227739283865685e+37,4.598287618338431e+21,2.772025596192296e+37,2.038536095085222e+36,3.404327028180888e+36,5.44286312326611e+36,1.270001395428759e+37,2.9345546072110744e+37,90726144459.94817,1.972468277302173,2.6549875204025497,2.019323819569177,4.1394336316458375e+37,1.0208397207836976e+36,6.422067266137138e+34,9.56619048122326e+35,3.643113492218972e+37,4.963201394268657e+36,39408463884.47044,39407253322.76165,1210561.7087981035,51317680569.44253,51298697898.990685,18982670.451839965,3.038356568785173e+53,1.4171107381157264e+52,2.8966454949736008e+53,0.1247094853414151,0.2059648517431808,0.3924748404925416,0.8627377250718566,1.5476451675507927,2.092136346554351,2.696783253765976,2.613985592446296,3.310735194377645,3.994346203359671,5.023244472301245,5.510468376690413,4.929446344538525,4.781007506191167,8.178495072384518,8.627767830180082,141.34459988264663,122.80529792544333,57.82838835491432,25.24261050194959,9.192316579163602
1034813380357023744,545255,NER,NOEL,0.0956606094934619,0.0355745191417301,3444.9569541572946,455.7177676885396,3444.9569541572946,455.7177676885396,2505.826631234064,348.3694552657121,3.0128773805491173e+38,1.25606139805169e+38,2.8512075923735485,0.6256177496642783,3.199267586908572,0.7320218905803922,99154981741.68336,12939406192.641758,128341149370.2118,13391938588.945353,7.48366648378562,0.3938771833571379,0.03,-0.5,0.36,1.0,1.6,0.1,2.0,0.0,60.0,80.1,60.0,1.0,100.0,0.4177150074459672,0.25,0.4,0.1,1.1262261931428823,0.3173860723624784,-0.25,0.0,217.5,35.0,3.0,0.1,0.06,1.0,0.0,0.0,300.0,-3.0,100.0,0.019,3500.0,250.0,3500.0,0.01,5.0,500.0,2475.55882923616,1.0,0.02,10.0,10474.370158894422,4.518943043039816e+25,0.2851,9.562113539616708e+36,8.083389497687752e+36,1.6674022150158853e+21,1.008197495797834e+37,7.392011727972692e+35,1.2593842874933196e+36,1.9985854602905884e+36,1.7987269142615289e+37,4.155342532404147e+38,214947610768.03616,2.7413325347422486,2.987327708713662,2.7625909725428217,8.884491277935202e+37,1.472051801313511e+36,1.4953668069674572e+35,1.3225151206167652e+36,8.202079405164494e+37,6.824118727707092e+36,93420538755.68976,93418894938.46107,1643817.228708038,121527072004.0778,121501089919.84937,25982084.228441544,4.329753632307375e+53,3.242993990103119e+52,4.005454233297063e+53,0.0077942240832342,0.0142382789726516,0.0265207588817983,0.0747919613453597,0.2187525368408539,0.3292442659423074,0.4323683898030036,0.4186579473878189,0.5221193635979106,0.7041495967547444,0.8364594093789839,1.0277199117565077,0.6420956478049015,0.5261674292886149,0.582956495043493,0.5057912700128373,8.941982112439545,24.45891293605791,26.79184322547176,17.944949579386073,8.456977184583351
317525791778826240,53744,SFG,UNCXY,0.149691382288162,0.050006866169892,3737.237640781411,2134.0134820864514,3737.237640781411,2134.0134820864514,1492.046376036837,1185.2310607579216,3.953389730908302e+37,5.772215254245711e+36,6.530463801117063,1.1436976808045431,6.860456600406238,1.0085794664934988,6000842513.424715,2025598992.9634852,9368830260.409533,2425730257.1761365,37.19852033181569,1.9578168595692471,0.03,-0.5,0.36,1.0,1.6,0.2,2.0,0.0,60.0,80.1,60.0,1.0,100.0,0.5310312201464105,0.25,0.4,0.1,1.0492504312695707,0.4206670498200666,0.0,0.0,217.5,35.0,3.0,0.1,0.06,10.0,0.0,0.0,300.0,-3.0,100.0,0.019,5000.0,250.0,5000.0,0.25,100.0,1.0,3528.341553693283,1.0,0.02,10.0,12044.840332676242,1.954646973098157e+25,0.1349,1.7228169497420214e+37,1.4563935452434849e+37,3.0041776707264504e+21,1.816480976984502e+37,1.3318272205073233e+36,2.2690470969028467e+36,3.6008743174101697e+36,1.440349726964068e+37,3.3281734512036774e+37,18764613329.267555,4.21613237377242,7.208341496772979,4.412011350304933,3.228820884991405e+37,2.076140121353488e+36,1.6115794227568523e+34,2.0600243271259195e+36,2.151850214087115e+37,1.0769706709042899e+37,7934982283.671811,7932310434.734953,2671848.9368585283,10829631032.435663,10788182781.029552,41448251.406111404,6.282175735410738e+53,4.6323652532395365e+51,6.235852082878343e+53,0.0917444266443716,0.1307985290204079,0.1819228174162102,0.3068017130075702,0.4002071563982597,0.473999537060128,0.5337277946455051,0.5258537974425411,0.6113896460398627,0.7245592709694652,0.8834050166306334,1.0597805262168054,1.1655802688097237,1.252039815289936,2.998196049452063,3.220947262187526,71.82779246261876,67.02509344835205,32.93011513978786,14.726954245727155,5.414956670232711
318692373649451008,559141,sAGN,AGNXY,0.361932245638,0.0761308837819035,5793.196342236594,2631.4109976109075,5793.196342236594,2631.4109976109075,2717.9160980876545,2039.7289835623048,8.262735410182369e+37,4.206021847057798e+37,9.81737343744746,2.3707050094461377,9.93164622146323,2.3349719080760782,24497412361.714226,19587764057.32981,32117063619.3694,19777054421.25278,57.75045415022496,2.887522707511248,0.03,-0.5,0.36,1.0,1.6,0.4,2.0,0.0,60.0,50.1,60.0,1.0,100.0,0.5374147594960234,0.25,0.4,0.1,1.0605416089950286,0.4197739720460546,0.0,0.0,217.5,35.0,2.0,0.1,0.06,2.5,0.0,0.0,300.0,-3.0,100.0,0.019,11000.0,250.0,11000.0,0.01,800.0,1.0,10843.55694876986,1.0,0.02,10.0,11631.776134971196,2.5458002736941126e+25,0.1716,7.133871078082874e+37,6.026705437132083e+37,1.2439752349677649e+22,7.499163772635014e+37,5.514853850725936e+36,9.20972950430337e+36,1.4724583355029307e+37,2.208687503254396e+37,9.281952427221492e+37,229545771200.47467,7.8266610171494335,8.331653003388423,7.870860768010881,5.816869678233678e+37,3.891243315732876e+36,1.1805591438459429e+35,3.773187401348282e+36,3.8713328469472595e+37,1.9455368312864176e+37,111906781697.66998,111902102973.79892,4678723.871056945,117638989479.24356,117564959618.99562,74029860.24791561,1.1712431037086802e+54,2.843792520731124e+52,1.1428051785013687e+54,0.1191098847807236,0.1742887667909113,0.2536782584589498,0.373753441817738,0.5702249211871313,0.7539897241005393,0.9292725343077656,0.9025512076218392,1.1179328446415076,1.4831107695788692,1.8955577113170103,2.438046233299228,2.646331436822229,3.088191398132324,6.812894045813694,9.653815335775526,40.253722600095095,47.15229934270948,30.751763686401905,15.972522641257967,6.483589274688387
318699525491419136,30518,sAGN,UNCXY,0.108132025546778,0.0273578360136475,4136.09385231243,1416.201973459628,4136.09385231243,1416.201973459628,1638.5889617782195,787.9603451900687,8.565843082645797e+37,6.578944967401152e+36,14.10758830242204,1.2705004719629815,14.278547806524552,1.2429329559171856,17248803062.38005,4176729488.829845,25801926976.67201,4823083311.949277,49.28358234583482,2.593872755043938,0.03,-0.5,0.36,1.0,1.6,0.1,2.0,0.0,60.0,50.1,60.0,1.0,100.0,0.540641057763134,0.25,0.4,0.1,1.060229628737975,0.4251301140659231,0.0,0.0,217.5,35.0,3.0,0.1,0.06,10.0,0.0,0.0,300.0,-3.0,100.0,0.019,5000.0,250.0,5000.0,0.01,800.0,5000.0,1847.7041254900464,1.0,0.02,10.0,11086.191414692568,3.413120938130974e+25,0.223,2.052905311151933e+37,1.7342976155887515e+37,3.579772242664478e+21,2.1580251408436998e+37,1.587002713739039e+36,2.6502725388104373e+36,4.237275252549476e+36,3.813547727294527e+37,8.811851776881958e+37,47338485346.47548,14.665107463223965,14.768358502469242,14.67421283675798,8.491409655319952e+37,7.111028961137285e+36,5.302331779454412e+34,7.058005643342741e+36,4.858455996902537e+37,3.632953658417415e+37,19250860601.989414,19242158519.88996,8702082.099455899,28087624700.541336,27949584698.217957,138040002.32338583,2.1528245655660743e+54,1.4979478604768038e+52,2.1378450869613067e+54,0.0640987536756433,0.0866824798596442,0.108953205179842,0.1714256443704644,0.2707440732542849,0.3377978314741198,0.3822170832967814,0.3745176615479225,0.4294532021964583,0.5422409183277399,0.6315821883770953,0.7708963478312915,0.6530630925867382,0.7073900645849672,1.8809754185453544,1.9289317379409137,61.13886695809119,65.8752742883246,35.33906469717316,16.659504481274823,6.243462744285631
319882599734470656,84465,UNC,UNCX,0.0933840227641767,0.0331956591690045,4003.623140575335,2290.7912254600883,4003.623140575335,2290.7912254600883,3575.2157501124084,1988.052176452985,3.0484550137511036e+38,8.017585807048542e+37,0.3455901013215293,0.7261310631577346,0.4028953338949075,0.8176745693535449,129257777167.49164,59365412180.53969,156153077131.8028,58362069467.7316,3.628485305763041,0.1909729108296337,0.03,-0.5,0.36,1.0,1.6,0.1,2.0,0.0,60.0,50.1,60.0,1.0,100.0,0.6170285046363689,0.25,0.6,0.15,1.7711954379245678,0.4733802540309559,-0.25,1.0,217.5,35.0,3.0,0.1,0.06,1.0,0.0,0.0,300.0,-3.0,100.0,0.019,2000.0,750.0,2000.0,0.01,100.0,1.0,1982.903686328376,1.0,0.02,10.0,11371.336955067343,2.946868561647865e+25,0.1957,7.892774379717902e+36,6.667828132532746e+36,1.3763096860163184e+21,8.29692701846086e+36,6.10152562395278e+35,1.0189463235328358e+36,1.6290988859281136e+36,1.4661889973353016e+37,3.3871275583106885e+38,191268203358.61063,0.0106376994046445,0.0181873250768182,0.0111319205265914,7.297013364627656e+37,1.449436587563121e+35,1.3974602319473863e+35,5.197635561573466e+33,7.294296066106393e+37,2.717298521262372e+34,82088365452.64766,82088358711.32094,6741.326724400028,109179837905.9298,109179733328.08446,104577.84533739329,3.0651148243846764e+52,2.907778398227515e+52,1.5733642615716193e+51,0.005381070272487,0.0100913723489288,0.038022186193666,0.1488059220036358,0.4326783063146345,0.6731012095835616,0.901474722451971,0.8762443489654574,1.1111688775338495,1.4612086331793888,1.7375177513406246,2.031883828401836,1.2128870704672483,0.9601939719000064,1.068547862951095,0.9425145759439334,19.7158767500784,46.6880569126549,45.261567995001975,28.031887259990693,12.724176873132503
320958471644145664,692601,sAGN,AGNXY,0.2873549196245205,0.0349397226689964,939.755219942078,316.17223397007234,939.755219942078,316.17223397007234,322.9642603249095,155.225077265669,1.0400089648502662e+38,1.096744879492955e+37,39.64581486185919,4.291482059018834,38.56189651046123,4.191863996985268,6949452109.310845,1776762241.801524,15007060068.939444,3113270157.973559,155.12038960486728,8.16423103183512,0.03,-0.5,0.36,1.0,1.6,0.3,2.0,0.0,60.0,50.1,60.0,1.0,100.0,0.5527283368987091,0.25,0.4,0.1,1.0592190418272502,0.4360419731239404,0.0,0.0,217.5,35.0,2.0,0.1,0.06,10.0,0.0,0.0,300.0,-3.0,100.0,0.019,901.0,250.0,901.0,0.25,100.0,5000.0,262.7933972540493,1.0,0.02,10.0,10718.641146448228,4.059232505754377e+25,0.2597,1.8546026897546405e+38,1.5667712510817868e+38,3.233980249302982e+22,1.949568355162514e+38,1.4337044604832771e+37,2.394266580323991e+37,3.827971040807268e+37,8.931932428550292e+37,9.950713246207174e+37,20463622685.81153,36.65509624099083,38.45099820386813,36.737091239416856,1.7580928924970134e+38,1.7714110564111655e+37,6.371215864717191e+34,1.7650398405464485e+37,8.490631583535113e+37,9.09029734143502e+37,6293256693.650091,6271453376.489448,21803317.16064438,14170365882.16561,13824798396.92792,345567485.23768944,5.369166906452939e+54,2.3038967655255926e+52,5.3461279387976834e+54,0.1580515006257092,0.2377755892868211,0.323000985020606,0.4360294220524761,0.5931571449123827,0.67299788094796,0.7848693414978163,0.7713222601172456,0.8483185726158489,1.044544427727121,1.3322872167257664,1.773145360984487,2.41901169193468,3.146979688009479,8.800667218102433,12.561020389473256,66.7908092002506,63.55790483472302,33.30022577078988,15.725110489681724,5.887371162351759
320971116027865088,22727,sAGN,SFGXY,0.273397886043445,0.0570926376201679,3400.9715287821477,1554.9803701723872,3400.9715287821477,1554.9803701723872,1311.365756115918,789.6369318810906,1.0937679668912514e+38,5.760883031500553e+37,9.162278039635588,1.4834911371201012,9.157595518785,1.4108767334428185,8258327731.174542,3394897180.979748,12881003066.75166,4385288732.054562,33.603458239612,1.7686030652427367,0.03,-0.5,0.36,1.0,1.6,0.2,2.0,0.0,60.0,50.1,60.0,1.0,100.0,0.540641057763134,0.25,0.4,0.1,1.060229628737975,0.4251301140659231,0.0,0.0,217.5,35.0,2.0,0.1,0.06,2.5,0.0,0.0,300.0,-3.0,100.0,0.019,5000.0,250.0,5000.0,0.01,800.0,5000.0,1847.7041254900464,1.0,0.02,10.0,11358.58564602349,2.9670994088422125e+25,0.1969,3.2620158613402827e+37,2.7557560982492147e+37,5.688169723232297e+21,3.4290486757293305e+37,2.5217081353362463e+36,4.211217639464913e+36,6.73292577480116e+36,2.693170309920464e+37,1.1317978961828654e+38,33430970940.589043,10.356663882575155,10.429580928131864,10.363094199806282,5.996729032496899e+37,5.021888656079856e+36,3.7445663573496654e+34,4.984442992506359e+36,3.431096285818791e+37,2.565632746678108e+37,13595174341.8921,13589028833.609352,6145508.282748431,19835796567.66268,19738311164.98164,97485402.68104596,1.5203489288865506e+54,1.0578676319614446e+52,1.5097702525669364e+54,0.0729212394359062,0.1007268145983435,0.1350555856933064,0.209293779634165,0.3104371063918186,0.386083496361307,0.4389958230778334,0.4316900942449847,0.4981750680174061,0.6201605535463531,0.756493678997245,0.9518323616694322,0.9948583250316952,1.1759077668290718,3.606745323882782,6.360271842234467,32.16312268970517,41.45087026633868,28.36973666093102,15.095925783243844,6.195611193614902
321040660138321920,23104,sAGN,AGNXY,0.2296065313441858,0.0849592243679116,4311.994943303388,2883.619570138653,4311.994943303388,2883.619570138653,2787.7802484690083,1455.9417019815878,8.790256708157222e+36,2.470774526733828e+36,0.5333810947087205,0.3556704579769564,0.606275505608489,0.4067836023533367,25375047620.964542,6218926371.684053,33167160618.23292,6357919812.383768,43.022012157182445,2.264316429325392,0.03,-0.5,0.36,1.0,1.6,0.1,2.0,0.0,60.0,50.1,60.0,1.0,100.0,0.4184072170226274,0.25,0.4,0.1,1.124272509587633,0.3176303670108751,-0.25,0.0,217.5,35.0,2.0,0.1,0.06,10.0,0.0,0.0,300.0,-3.0,100.0,0.019,3500.0,250.0,3500.0,0.01,50.0,500.0,2474.5481340476376,1.0,0.02,10.0,12727.157465904858,1.086954725367358e+25,0.078,3.1416310917516903e+36,2.6540548567372303e+36,5.478247690164446e+20,3.3024995563249475e+36,2.4286444392212307e+35,4.055802556655935e+35,6.484446995877166e+35,5.836002296289446e+36,6.501659726954337e+36,65399983913.86009,0.9237015725735498,1.1923757230192038,0.9387717737198632,2.774333277273203e+37,4.925326414291449e+35,4.566723326300087e+34,4.46865408166144e+35,2.543071414808552e+37,2.312618624646512e+36,28416365493.10832,28415804611.5119,560881.5964167599,36983618417.944405,36974791584.6109,8826833.333501715,1.452578643305243e+53,9.932982979400423e+51,1.3532488135112388e+53,0.0555040788365027,0.08630389339073,0.2231080155834779,0.7369645121036806,1.4204173438586445,1.927929118800078,2.464440172752231,2.375179318015727,3.0279732419565084,3.504406966698162,4.214949880364423,4.111306380732221,2.676102009964722,2.046094900296863,4.433408633935422,9.751429279531516,51.28135293669072,40.50697477284989,18.31226001667934,7.861053073856789,2.8437768163349264
