SPEC_ID,BPT,WHAN,HgF_g,HgF_er_g,HgF_cont_g,Hg_SDSS,Hg_er_SDSS,Hg_cont_SDSS,Hg_cont_err_SDSS,HA_g,HA_er_g,HA_cont_g,HA_SDSS,HA_er_SDSS,HA_cont_SDSS,HA_cont_err_SDSS,GALRE_i,GALREERR_i
324359262283261952,AGNX,LLR,19.626963,19.061813,19.91712,2.927471,1.3968471,5.083937,0.82335836,-23.778912,17.620907,32.189644,5.2113833,1.6621722,7.91426,0.72631145,7.669197,0.8816712
324360361794889728,AGNXY,sAGN,49.460094,15.716564,27.308332,14.865352,2.5455263,9.119432,1.034803,322.85175,13.321776,41.00186,109.72731,3.5334876,13.216867,1.8129982,2.2049916,0.0609861
324362011062331392,NOEL,RG,15.88633,14.779075,22.004652,-0.06937528,1.9389663,7.2558575,0.9912101,-49.27706,13.896224,37.080986,6.829589,2.6846588,11.614017,0.5731471,3.22189,0.1904163
324405166893721600,NOEL,RG,20.042137,18.56309,17.637693,2.8955462,1.831651,4.436785,0.7387353,-34.092346,15.22267,26.283127,2.9693465,1.8494675,6.626445,0.56430554,4.789765,0.2632335
324413688108836864,NOEL,RG,26.032457,15.656011,23.83512,0.24582538,2.0675213,8.968537,0.84977394,-64.82101,13.144492,37.18439,1.2793777,2.2643802,13.404901,0.56104803,2.4463258,0.3277113
324418086155347968,UNCX,LLR,71.16648,15.447992,26.977745,-3.0201664,2.1540263,8.771667,0.7394029,-5.408553,14.066687,46.777832,12.311386,5.069341,14.224501,0.6042714,1.941487,0.1036662
324419460544882688,SFX,wAGN,-28.564096,14.182861,22.032534,3.601318,2.2334938,7.35908,0.9077057,122.11916,10.224429,33.033524,56.08534,2.5578697,10.857721,1.0093591,2.3792377,0.0951912
324421109812324352,UNCX,LLR,63.34921,16.137085,40.3003,5.679815,2.0956233,12.228533,0.69360304,-76.66996,13.027596,64.846664,7.124068,2.2348583,18.389507,0.6206608,3.61035,0.1350576
325477740318844928,SFX,sAGN,-96.49725,23.824148,42.3217,13.613224,2.4097953,8.893673,1.0554359,1379.855,22.10395,67.86999,301.48532,3.9071953,14.107914,0.5867874,3.2478235,0.2471649
3284336966115551232,SFXY,SF,35.68003,2.8755288,10.061715,64.326645,1.3171583,9.357083,0.47805005,769.0843,4.841221,6.6210527,575.4708,3.3728495,6.286762,0.8428473,0.1781445,0.0089835
340022899698067456,SFXY,sAGN,1780.9469,81.54692,624.79095,680.479,12.71178,147.63623,4.005758,30256.242,213.32495,738.7388,6541.773,44.785816,165.25964,23.991879,5.4103045,0.0253911
340061107727132672,AGNXY,wAGN,-71.35532,16.186937,40.527355,9.015172,3.136632,15.828316,1.0532548,329.95526,14.868179,55.626045,142.80995,4.2309775,21.08812,5.028785,1.7193063,0.0564096
340062482116667392,UNCXY,sAGN,40.835392,13.4170685,36.34908,37.614918,3.1490679,15.944659,1.1852115,1074.1385,15.116433,45.439037,410.3735,5.351666,19.496025,3.7439663,1.5640104,0.0656304
340063856506202112,NOEL,RG,-19.148771,14.4536915,24.640963,0.17157815,2.2735002,8.410287,0.6975799,-33.94011,13.736837,35.343037,12.149219,2.9051604,11.520156,0.574383,2.201127,0.0982083
340064406262016000,AGNXY,wAGN,44.01218,18.34508,30.016916,8.260213,2.7685456,8.544585,0.8054278,241.74475,14.951158,47.497215,68.181046,3.481685,12.739999,1.5001714,2.742476,0.1065477
340064956017829888,SFX,sAGN,-118.373856,20.808897,82.97896,27.35785,3.3187003,27.368895,1.190286,1606.8799,23.81671,109.32149,525.77734,6.4861383,34.556488,1.3036658,2.4242907,0.0728172
340076226012014592,AGNX,LLR,169.61703,40.476383,178.59694,8.476455,3.3196568,33.127388,1.3177059,-88.9037,35.776222,278.09717,56.81666,4.7245464,47.596367,2.0466201,10.717417,0.1854669
340081723570153472,UNCX,RG,69.51192,25.178358,57.965153,4.624799,3.8618152,12.5844145,0.88207316,-71.64246,26.041842,93.21834,26.614103,5.509004,18.749023,1.0528815,18.510553,1.5575355
340082823081781248,AGNXY,sAGN,-6.5374436,32.123302,121.380226,33.343506,2.9137814,28.483753,1.1370982,1280.4135,36.60404,163.0318,314.34433,5.494098,36.173595,1.9400631,5.9697223,0.1100394
340142746465495040,SFXY,SF,18.98799,11.427497,27.771307,37.254757,2.5561748,13.134906,1.03702,900.8037,12.965491,35.051807,404.50986,5.0071387,15.907988,0.994739,1.0133727,0.0239334
340160338651539456,UNCX,LLR,47.850464,23.403868,47.07713,-1.0944341,2.5010953,11.6535225,1.1574043,-34.896336,16.783533,72.7228,20.160767,2.7524571,16.750767,0.91412663,5.3474536,0.2331303
340163637186422784,AGNXY,SF,97.21425,13.778075,27.769344,40.742622,4.7082086,10.339515,1.3595661,872.2132,13.911401,47.654514,465.89084,6.4193993,17.098053,5.565688,2.7125084,0.1893654
340165836209678336,UNCXY,SF,49.348515,17.583595,28.399204,23.175879,3.237456,8.947396,1.2446576,760.1679,16.484154,33.383682,221.50778,4.3010488,10.251867,3.5801122,2.7652907,0.1113615
340177930837583872,SFX,wAGN,-13.7023325,12.163401,22.54819,3.6969821,2.2579207,8.175985,0.79855084,172.68358,14.330075,34.521313,58.300587,5.350506,11.830521,1.86133,2.3420494,0.128481
340187001808513024,UNCX,ELR,-42.946777,20.922474,25.262028,3.5298133,2.705473,6.96698,1.050765,65.13985,16.233364,37.989506,33.48977,2.5459902,10.144722,1.0733092,4.464528,0.2861838
340197722046883840,SFXY,SF,-25.78093,17.331114,23.018291,14.722031,2.419575,7.2644324,1.259204,596.88324,13.714858,29.075666,176.73103,3.1168048,9.226657,3.0987687,17.465076,3.6943543
341156494961567744,UNCX,RG,74.04296,23.982359,34.062843,2.3010657,2.5338647,10.729328,1.2784988,-57.76938,19.189907,60.88149,11.757787,2.7433307,17.358171,1.1368167,5.164936,0.3058458
341158419106916352,UNCX,RG,18.883383,18.33899,36.289837,-0.057595897,2.501339,14.228767,1.1142031,-60.87952,16.572853,55.805946,13.075532,3.7069662,20.417961,1.2387855,2.0900028,0.1047171
341171613246449664,SFX,wAGN,-4.925761,16.752743,23.504938,5.9952497,2.0989103,7.8282557,0.8656272,219.20474,13.903381,33.746357,75.18928,2.7275155,10.588502,0.9515856,3.579162,0.2822853
341172163002263552,AGNX,LLR,-476.16498,33.28047,116.34034,0.47396055,3.1857011,23.911835,1.3142544,14.2899,29.655945,138.7396,61.372513,4.5621123,27.922712,3.3344648,3.714728,0.0872247
341175461537146880,SFXY,SF,27.040495,17.630247,33.871246,23.045456,2.9707901,13.230614,1.2279547,602.6226,14.412926,37.399506,224.92247,4.1139607,13.796721,1.8708442,2.4025948,0.134244
341185632019703808,UNCX,ELR,151.32336,24.054289,60.327362,13.105147,3.703247,17.32175,1.0548536,292.13025,27.494171,102.827034,94.13327,5.982105,26.88899,3.572567,3.1217833,0.0721392
341219991758071808,NOEL,RG,-69.02814,15.032172,36.18563,-13.195031,6.184764,17.683502,1.2351329,-93.677216,15.085409,44.207962,3.0426667,7.9860044,20.44852,0.8520231,1.1572104,0.0241368
341222465659234304,SFX,sAGN,19.220722,25.964197,29.525948,15.591339,2.245857,5.639841,0.91876066,882.79425,29.127707,41.822803,160.61624,3.622973,7.6247487,1.0119976,6.2330236,0.2872347
341241981990627328,AGNX,LLR,229.7448,63.178703,264.48203,6.0950418,5.4127154,44.688503,1.6684116,241.1558,66.31716,469.29572,134.8578,8.683937,72.849335,4.2733264,15.499622,0.2353677
341263147589462016,AGNXY,sAGN,428.65656,28.915167,102.931335,119.561134,4.492342,26.660236,1.6117213,3998.3616,44.80828,144.65932,949.9895,10.202967,36.55423,12.653179,3.1779895,0.0485448
341265071734810624,SFXY,SF,245.26842,19.049295,83.97334,285.0356,5.6207714,40.47826,1.5384978,4912.252,42.06301,66.32149,2262.1912,18.16768,31.08855,1.4438313,0.9620481,0.0095937
341279915141785600,AGNX,RG,12.621596,13.974617,27.849539,4.159439,2.724717,11.365159,0.87724817,11.690079,9.856791,42.992195,28.717281,2.780375,16.458931,1.1086868,1.4752941,0.0517653
341281289531320320,NOEL,RG,3.9045272,13.823825,31.008974,-2.5536003,4.9495153,12.342075,0.89898264,-79.285515,13.377341,44.70722,4.5213184,5.846671,16.780952,0.77186483,1.7179164,0.0513924
341299706351085568,SFX,wAGN,186.38338,54.515514,235.65555,33.00456,5.3865314,40.242535,1.8795899,1774.9781,60.283783,356.95084,353.69775,9.492176,57.678753,6.122477,12.569341,0.1748901
341304929031317504,UNCX,ELR,248.77422,34.799484,119.74328,16.309889,3.7303154,25.277744,1.3797996,206.03423,33.432034,209.15031,97.89731,5.5731573,40.28616,3.1441154,6.8446813,0.109497
341308227566200832,SFXY,SF,51.254215,24.2425,53.74706,31.001728,2.6608999,11.947509,1.0087221,1758.3856,27.870638,68.09366,364.8989,5.0429854,14.788735,1.9134879,5.975926,0.3241857
341309876833642496,AGNX,LLR,173.24876,25.443783,86.3596,10.058782,3.806515,27.732784,1.285462,5.168334,23.962132,144.06137,60.42664,5.599812,41.848385,2.307898,2.307912,0.0325779
341317848292943872,AGNX,LLR,-77.547066,22.28437,49.82539,-37.278522,7.3814917,18.179647,1.7174274,-111.26395,15.372342,77.94558,12.054794,7.5069695,26.740902,0.8728817,1.6551336,0.0275607
341321696583641088,NOEL,RG,95.364365,20.376331,39.551952,4.6511765,2.1461205,14.524194,1.7076977,-115.593155,18.058624,59.99768,-4.2210884,3.327437,20.119045,0.9083563,2.228586,0.0660372
342287617447979008,UNCX,ELR,9.994778,17.97662,18.570982,1.463924,3.69025,7.205589,1.258818,95.66253,22.955418,31.272831,40.521828,7.278493,11.265491,1.3606894,4.1172566,0.3182871
342318403773556736,SFXY,SF,252.2382,22.057055,52.085358,118.40265,4.0633388,16.676485,1.2246877,3763.1902,34.629456,46.337833,1074.3575,9.172925,14.546845,4.363803,2.6973891,0.1694322
342321427430533120,SFX,sAGN,-49.93062,21.025667,44.247025,0.09653394,3.2370708,12.640528,1.0270792,787.26135,23.67958,37.80948,42.04971,5.7875657,19.6465,1.5233852,5.698014,0.2497413
342337645227042816,UNCX,ELR,263.70496,41.905643,130.28859,40.547638,4.949115,28.003506,2.3352542,530.98444,37.530716,223.62268,164.71092,6.2488904,43.306927,3.2238953,7.7958474,0.1288878
