,BPT,WHAN,Z_1,mass_stellar_percentile50,T_C_ISM_percentile16,T_C_ISM_percentile50,T_C_ISM_percentile84,T_W_BC_percentile16,T_W_BC_percentile50,T_W_BC_percentile84,SFR_0_1Gyr_percentile16,SFR_0_1Gyr_percentile50,SFR_0_1Gyr_percentile84,ager_percentile50,P100_flux,P100_fluxerr,SurfaceDensity,SurfaceDensityErr,SurfaceDensityFlag
1265,NOEL,NER,0.161,10.55,15.363,16.538,18.613,35.413,45.438,55.488,-1.238,-0.728,-0.473,9.707,0.016199488,0.021013837,-999.0,-999.0,-999.0
1266,UNCX,ELR,0.1587,10.9,15.163,15.663,16.588,37.363,49.213,56.138,0.177,0.302,0.312,9.617,0.012267511,0.010088437,-999.0,-999.0,-999.0
1267,SFX,sAGN,0.2665,11.23,21.913,23.588,24.563,35.363,46.188,55.863,0.892,0.972,1.062,9.402,0.07637627,0.025447503,-999.0,-999.0,-999.0
1268,UNCXY,sAGN,0.163,10.1,15.338,16.313,18.288,39.038,50.338,57.088,0.387,0.462,0.552,9.142,0.0,0.030721338,-999.0,-999.0,-999.0
1269,SFX,wAGN,0.2518,10.78,19.313,21.813,23.738,34.713,44.613,55.263,-0.013,0.407,0.672,9.292,0.037883986,0.025921814,-999.0,-999.0,-999.0
1270,AGNXY,SF,0.0811,9.157,15.788,17.813,21.163,33.088,40.988,51.713,-0.753,-0.358,-0.193,8.957,0.01404647,0.019198116,-999.0,-999.0,-999.0
1271,AGNXY,ELR,0.1877,10.88,16.063,18.888,22.713,35.088,45.238,55.313,-1.448,-1.118,-0.723,9.612,0.0,0.04505396,-999.0,-999.0,-999.0
1272,UNCX,ELR,0.2707,11.05,15.813,17.663,20.638,34.138,44.638,54.838,0.502,0.597,0.687,9.432,-999.0,-999.0,-999.0,-999.0,-999.0
1273,UNCXY,UNC,0.2746,10.7,22.163,23.788,24.663,35.663,44.763,54.563,0.817,0.912,1.017,9.197,0.0550234,0.022265805,-999.0,-999.0,-999.0
1274,UNCX,NER,0.2696,11.08,17.788,21.538,23.963,34.088,43.388,54.563,0.362,0.482,0.587,9.512,0.03877724,0.018639559,-999.0,-999.0,-999.0
1275,UNCX,LLR,0.1592,10.69,16.463,19.038,22.038,34.788,44.838,55.238,-0.643,-0.503,-0.313,9.652,0.0062164143,0.014108625,-999.0,-999.0,-999.0
