,BPT,WHAN,Z_1,mass_stellar_percentile50,T_C_ISM_percentile16,T_C_ISM_percentile50,T_C_ISM_percentile84,T_W_BC_percentile16,T_W_BC_percentile50,T_W_BC_percentile84,SFR_0_1Gyr_percentile16,SFR_0_1Gyr_percentile50,SFR_0_1Gyr_percentile84,ager_percentile50,P100_flux,P100_fluxerr,SurfaceDensity,SurfaceDensityErr,SurfaceDensityFlag
0,SFX,wAGN,0.1473,10.94,16.588,18.463,20.913,35.788,47.713,56.413,-1.208,0.237,0.367,9.527,0.0,0.037524972,0.0,0.0,0.0
1,UNCX,LLR,0.0295,10.81,19.763,22.388,24.188,34.388,44.588,54.613,-2.168,-2.018,-1.668,9.812,0.0,0.09021481,2.0,1.4,1.0
2,UNCX,ELR,0.0549,10.77,20.638,22.213,23.888,33.838,40.788,47.713,0.432,0.517,0.587,9.462,-999.0,-999.0,1.0,1.0,1.0
3,UNCX,NER,0.1389,10.82,15.538,17.138,20.188,35.088,44.838,54.938,-1.808,-1.188,-0.898,9.522,0.0,0.021025218,0.0,0.0,0.0
4,NOEL,NER,0.1846,11.07,15.563,17.388,20.888,35.313,45.463,55.538,-0.803,-0.388,-0.103,9.572,-999.0,-999.0,-999.0,-999.0,-999.0
5,AGNXY,sAGN,0.1861,11.02,23.313,24.413,24.738,38.388,49.563,57.788,-0.003,0.002,0.502,9.527,-999.0,-999.0,-999.0,-999.0,-999.0
6,UNCX,ELR,0.1964,10.95,15.688,17.238,19.813,33.513,43.213,53.863,0.687,0.777,0.852,9.482,-999.0,-999.0,-999.0,-999.0,-999.0
7,SFX,ELR,0.1818,11.0,16.588,19.638,23.013,34.313,45.138,55.513,0.367,0.452,0.577,9.622,0.0,0.026240427,-999.0,-999.0,-999.0
8,AGNXY,sAGN,0.1396,10.45,15.363,15.713,16.988,39.688,51.763,58.763,0.647,0.647,0.647,9.627,0.0,0.020303087,2.0,1.4,0.0
9,UNCX,UNC,0.1377,10.83,19.088,22.163,24.238,36.813,46.563,55.313,-0.008,0.087,0.162,9.662,-999.0,-999.0,0.0,0.0,0.0
10,AGNXY,sAGN,0.2774,11.32,21.813,22.213,24.288,50.013,56.538,58.363,1.617,1.677,1.732,9.122,-999.0,-999.0,-999.0,-999.0,-999.0
11,UNCX,NER,0.2786,11.64,15.413,16.713,19.363,35.088,44.838,54.763,-0.553,-0.128,0.132,9.747,0.033298917,0.030587498,-999.0,-999.0,-999.0
12,AGNX,LLR,0.0921,10.95,16.363,18.688,21.613,34.563,45.188,55.813,-1.063,-0.558,-0.273,9.677,-999.0,-999.0,1.056,1.0,0.0
13,UNCX,wAGN,0.128,10.79,17.213,20.563,23.413,34.463,44.388,54.238,0.407,0.497,0.592,9.532,-999.0,-999.0,6.0,2.4,0.0
14,UNCX,NER,0.0912,10.7,16.788,18.938,21.713,34.188,46.238,55.913,0.162,0.222,0.312,9.532,-999.0,-999.0,0.0,0.0,1.0
15,AGNX,LLR,0.055,10.41,17.888,21.063,23.588,34.913,44.513,54.938,-1.728,-1.443,-1.238,9.667,0.052549303,0.021144198,0.0,0.0,0.0
16,AGNX,LLR,0.0552,10.82,21.988,23.388,24.513,35.563,45.713,55.963,-1.598,-1.128,-0.808,9.767,0.14465924,0.033302777,4.0,2.0,0.0
17,UNCXY,sAGN,0.0933,10.88,22.963,23.463,24.863,54.538,59.013,59.988,0.982,0.987,0.987,9.332,0.12084035,0.021123622,0.0,0.0,0.0
18,NOEL,NER,0.2851,11.19,16.713,19.988,23.288,35.113,46.188,55.613,0.837,0.902,0.977,9.412,0.026371509,0.021886643,-999.0,-999.0,-999.0
19,UNCXY,SF,0.2445,10.91,16.038,18.463,22.063,31.463,36.288,48.488,1.047,1.082,1.147,9.312,0.05467248,0.029059498,-999.0,-999.0,-999.0
20,UNCX,ELR,0.0883,10.47,18.938,21.238,23.238,33.788,43.938,54.638,0.057,0.152,0.237,9.437,0.06685156,0.01787378,1.071,1.0,0.0
21,AGNXY,wAGN,0.0854,10.66,15.938,17.613,19.638,35.113,47.738,56.738,0.017,0.072,0.132,9.552,0.047992554,0.019273764,2.133,1.4,0.0
22,AGNXY,sAGN,0.1384,10.66,22.513,23.738,24.713,52.688,57.388,59.688,0.712,0.787,0.862,9.342,-999.0,-999.0,2.0,1.4,0.0
23,AGNXY,sAGN,0.1382,10.54,23.488,24.113,24.938,53.538,57.263,57.488,1.257,1.302,1.312,8.807,-999.0,-999.0,2.0,1.4,0.0
24,SFX,UNC,0.0558,10.21,15.138,15.313,15.513,44.788,52.438,56.888,-0.128,-0.063,-0.028,9.492,0.0,0.03325888,0.0,0.0,0.0
25,AGNXY,sAGN,0.1784,10.93,19.263,20.888,22.413,50.613,55.913,59.113,1.157,1.202,1.252,9.232,0.087358736,0.022600902,0.0,0.0,0.0
26,SFX,sAGN,0.0428,10.89,16.288,17.538,19.213,43.238,51.338,56.563,0.357,0.417,0.437,9.532,-999.0,-999.0,0.0,0.0,1.0
27,UNCX,LLR,0.0574,10.54,15.363,16.588,18.888,32.363,40.338,50.888,-0.083,0.012,0.092,9.662,-999.0,-999.0,1.0,1.0,1.0
28,UNCX,ELR,0.1467,11.15,18.188,21.788,24.238,34.688,45.613,55.663,-0.263,-0.083,0.067,9.767,-999.0,-999.0,5.714,2.2,0.0
29,AGNX,LLR,0.1437,10.89,17.588,20.888,23.588,34.313,44.363,55.088,-0.703,-0.543,-0.323,9.597,0.03847842,0.01350632,-999.0,-999.0,-999.0
30,UNCXY,SF,0.1349,10.39,19.138,22.613,24.013,56.588,59.013,59.838,1.062,1.067,1.067,9.177,0.0,0.023552537,-999.0,-999.0,-999.0
31,UNCXY,sAGN,0.1274,10.57,21.913,23.738,24.488,34.413,46.988,57.763,-0.103,0.027,0.472,9.152,0.1045043,0.032074224,-999.0,-999.0,-999.0
32,NOEL,LLR,0.111,10.81,15.688,17.513,20.538,34.763,45.488,55.638,-0.893,-0.713,-0.573,9.782,0.0,0.027603738,-999.0,-999.0,-999.0
33,AGNX,LLR,0.1062,10.9,16.338,19.038,22.388,35.438,45.813,55.663,-1.863,-1.598,-1.333,9.837,0.0,0.034301914,-999.0,-999.0,-999.0
34,AGNXY,wAGN,0.1068,10.65,21.488,23.263,24.513,35.138,46.613,56.163,0.107,0.152,0.227,9.412,0.08829208,0.021797772,-999.0,-999.0,-999.0
35,UNCX,ELR,0.0829,10.89,15.088,15.413,16.288,35.963,46.663,55.038,-1.188,-0.998,-0.873,9.902,0.0,0.01879704,-999.0,-999.0,-999.0
36,UNCX,ELR,0.1567,10.83,15.363,16.413,18.338,34.713,44.738,55.188,-0.678,-0.313,-0.188,9.367,0.0,0.022641823,-999.0,-999.0,-999.0
37,AGNXY,sAGN,0.1212,10.71,17.088,19.538,22.438,35.263,46.313,56.138,-0.913,-0.238,0.027,9.532,0.03607222,0.021902312,-999.0,-999.0,-999.0
38,UNCX,ELR,0.0781,10.77,15.813,17.138,18.763,32.638,39.913,52.163,-0.128,-0.073,-0.023,9.707,0.021766076,0.069367096,-999.0,-999.0,-999.0
39,AGNXY,sAGN,0.1249,10.73,15.363,16.488,18.438,35.763,47.438,56.138,-0.488,-0.383,-0.273,9.697,0.0037207562,0.017598402,-999.0,-999.0,-999.0
40,UNCX,ELR,0.117,10.63,16.288,17.863,19.213,36.863,48.313,56.138,0.157,0.262,0.297,9.457,0.0,0.01685654,-999.0,-999.0,-999.0
41,UNCX,ELR,0.1558,11.07,15.163,15.513,16.438,35.788,47.463,55.638,0.307,0.397,0.507,9.652,0.039618522,0.015037632,-999.0,-999.0,-999.0
42,UNCX,ELR,0.1561,10.99,18.988,20.513,22.138,34.338,45.688,55.538,0.132,0.202,0.267,9.427,0.045202687,0.017975992,-999.0,-999.0,-999.0
43,AGNXY,sAGN,0.1716,11.11,16.463,19.238,22.263,51.188,56.538,58.963,1.307,1.312,1.312,9.627,0.059442364,0.01937342,-999.0,-999.0,-999.0
44,SFX,sAGN,0.1087,10.73,16.438,18.938,22.188,34.213,43.613,53.888,-0.248,-0.173,-0.083,9.647,0.0,0.026595488,-999.0,-999.0,-999.0
45,NOEL,LLR,0.1062,10.53,15.363,16.513,18.563,35.288,45.388,55.413,-1.348,-1.083,-0.983,9.717,0.0,0.015969314,-999.0,-999.0,-999.0
46,UNCXY,sAGN,0.223,10.66,16.138,18.463,22.263,51.113,55.863,58.938,0.942,0.942,0.947,9.197,0.0,0.02144002,-999.0,-999.0,-999.0
47,AGNXY,sAGN,0.1316,10.63,15.563,17.013,19.388,36.788,46.488,54.688,0.102,0.102,0.102,9.512,0.06479964,0.025272759,-999.0,-999.0,-999.0
48,UNCXY,SF,0.1815,10.54,21.638,23.413,24.513,44.763,52.688,58.838,1.067,1.077,1.347,9.327,0.09255699,0.024409594,-999.0,-999.0,-999.0
49,UNCX,LLR,0.075,10.35,15.688,17.588,20.963,34.888,45.413,55.563,-1.118,-1.038,-0.938,9.702,0.008980543,0.015239719,-999.0,-999.0,-999.0
50,SFX,sAGN,0.0751,10.08,20.513,22.663,24.288,42.488,52.763,58.138,-0.198,-0.073,-0.038,9.337,0.04431418,0.021202562,-999.0,-999.0,-999.0
51,AGNXY,sAGN,0.1364,10.75,22.638,22.638,24.488,58.888,59.538,59.538,0.757,0.757,0.757,9.412,0.22187597,0.018410051,-999.0,-999.0,-999.0
52,AGNX,LLR,0.186,10.73,15.338,16.338,18.463,35.238,45.663,55.413,-0.063,0.057,0.157,9.132,0.018841496,0.034265716,-999.0,-999.0,-999.0
53,UNCX,ELR,0.0928,10.84,15.363,16.113,17.038,37.838,49.338,57.388,0.142,0.227,0.237,9.562,0.07770013,0.02245946,-999.0,-999.0,-999.0
54,UNCX,NER,0.1256,10.63,16.163,18.863,22.413,35.313,46.363,55.713,-0.088,-0.018,0.022,9.642,0.024171075,0.023547648,-999.0,-999.0,-999.0
55,SFX,ELR,0.1259,10.9,17.438,21.663,24.088,35.563,46.613,56.063,-0.593,-0.173,-0.013,9.652,0.019479692,0.032664053,-999.0,-999.0,-999.0
56,UNCX,NER,0.1316,10.76,15.663,17.238,19.938,37.388,48.663,56.788,-0.038,0.077,0.152,9.527,0.0,0.01759261,-999.0,-999.0,-999.0
57,UNCXY,UNC,0.1636,10.97,15.763,17.738,20.663,34.738,45.388,55.838,-1.323,-0.713,-0.468,9.737,0.0,0.031313796,-999.0,-999.0,-999.0
58,AGNXY,sAGN,0.1092,10.46,15.438,16.463,18.388,36.963,47.488,56.538,-0.313,-0.158,-0.058,9.302,0.02795816,0.027854204,-999.0,-999.0,-999.0
59,UNCXY,sAGN,0.08,10.65,19.063,20.063,20.713,43.263,55.063,57.813,0.822,0.902,0.937,9.267,0.33144465,0.023427716,-999.0,-999.0,-999.0
60,UNCX,NER,0.0807,10.69,15.313,16.188,17.413,34.838,45.063,53.313,0.172,0.207,0.217,9.407,0.028983949,0.033500124,-999.0,-999.0,-999.0
61,SFX,sAGN,0.18,10.88,22.363,23.188,23.913,37.163,46.613,56.813,0.492,0.617,0.637,9.047,0.13708435,0.017776256,-999.0,-999.0,-999.0
62,UNCX,ELR,0.1368,11.15,17.763,19.513,21.213,34.263,43.513,53.438,0.532,0.557,0.567,9.577,0.13212271,0.0195769,-999.0,-999.0,-999.0
63,SFX,wAGN,0.0811,10.09,18.063,21.063,23.913,33.088,39.338,47.488,-0.193,-0.113,0.047,9.322,0.023729252,0.039507184,-999.0,-999.0,-999.0
64,SFX,UNC,0.136,11.01,15.113,15.263,15.463,38.513,52.213,57.388,0.527,0.572,0.612,9.562,0.0,0.033515077,-999.0,-999.0,-999.0
65,UNCXY,sAGN,0.1261,10.81,18.588,20.738,22.413,35.813,49.613,55.788,1.002,1.062,1.107,9.227,0.17871982,0.020385532,-999.0,-999.0,-999.0
66,UNCX,LLR,0.1053,10.63,15.563,17.038,19.463,35.138,45.288,55.663,-1.703,-1.393,-1.068,9.822,0.010273893,0.017704736,-999.0,-999.0,-999.0
67,SFX,UNC,0.1306,10.64,16.963,20.138,23.188,32.288,39.838,53.788,0.517,0.562,0.642,9.402,0.087542325,0.04626003,-999.0,-999.0,-999.0
68,UNCXY,wAGN,0.1199,10.89,18.613,20.888,23.088,33.938,43.863,54.163,0.627,0.667,0.722,9.367,0.1053979,0.037975904,-999.0,-999.0,-999.0
69,UNCXY,sAGN,0.0514,10.29,19.588,21.888,23.863,55.613,58.563,59.563,0.012,0.047,0.112,9.437,0.0999298,0.030651513,-999.0,-999.0,-999.0
70,UNCX,ELR,0.1353,10.99,15.238,15.888,17.113,36.988,47.688,56.263,-0.178,-0.048,-0.003,9.647,0.0016341092,0.019952713,-999.0,-999.0,-999.0
71,UNCX,ELR,0.0776,10.64,15.588,16.838,18.463,32.388,37.488,45.388,-0.053,0.017,0.057,9.547,0.066508725,0.01681597,-999.0,-999.0,-999.0
72,AGNXY,wAGN,0.0473,10.88,16.113,18.038,20.863,33.313,42.263,53.563,-0.833,-0.773,-0.718,9.812,0.080482945,0.023813916,-999.0,-999.0,-999.0
73,NOEL,NER,0.2651,11.45,22.388,23.988,24.788,35.563,44.813,54.763,-0.623,-0.173,0.082,9.622,0.06274276,0.014778268,-999.0,-999.0,-999.0
74,UNCX,ELR,0.1257,10.84,15.538,16.613,18.263,39.838,51.488,57.913,0.382,0.472,0.542,9.457,0.033947714,0.065266065,-999.0,-999.0,-999.0
75,AGNX,LLR,0.0473,10.91,15.863,17.563,20.738,34.788,45.638,55.713,-0.833,-0.743,-0.628,9.792,0.10302981,0.06885219,-999.0,-999.0,-999.0
76,AGNXY,sAGN,0.0474,10.67,22.213,22.738,24.888,58.338,58.938,59.638,0.282,0.312,0.317,9.367,0.5147519,0.05381025,-999.0,-999.0,-999.0
77,AGNX,LLR,0.1952,11.37,17.413,20.688,23.438,34.513,45.138,55.313,-0.523,-0.323,-0.273,9.627,0.0,0.03299639,-999.0,-999.0,-999.0
78,SFX,ELR,0.0817,10.85,15.863,17.138,18.463,39.763,51.613,57.063,0.157,0.217,0.272,9.632,0.04328924,0.029571207,-999.0,-999.0,-999.0
79,NOEL,NER,0.2534,11.49,15.863,18.163,21.563,34.638,44.463,54.863,-0.098,0.237,0.452,9.697,0.036146812,0.028772637,-999.0,-999.0,-999.0
80,UNCXY,sAGN,0.2353,11.32,15.438,16.613,18.863,32.988,43.413,54.788,0.562,0.617,0.737,9.607,0.012810696,0.026358353,-999.0,-999.0,-999.0
81,SFX,sAGN,0.1528,10.85,22.613,23.738,24.563,34.363,44.013,55.088,-0.988,-0.988,-0.988,9.682,0.072822586,0.018445656,-999.0,-999.0,-999.0
82,UNCX,UNC,0.1957,11.34,15.713,17.013,18.738,35.063,47.213,56.013,0.257,0.397,0.507,9.647,0.0,0.019586926,-999.0,-999.0,-999.0
83,NOEL,LLR,0.1276,11.14,15.788,18.113,21.913,34.938,45.288,55.613,-1.138,-0.968,-0.663,9.677,0.042448476,0.033246737,-999.0,-999.0,-999.0
84,AGNXY,wAGN,0.1074,10.72,16.163,18.613,21.463,33.613,42.138,52.063,0.047,0.167,0.232,9.687,0.025519548,0.029420562,-999.0,-999.0,-999.0
85,NOEL,LLR,0.2293,11.41,15.813,18.213,22.088,35.038,44.938,55.188,-0.818,-0.643,-0.473,9.597,0.0,0.02758993,-999.0,-999.0,-999.0
86,UNCX,NER,0.2279,11.3,18.038,20.863,23.338,34.363,45.488,55.688,0.612,0.712,0.792,9.577,0.0,0.027781766,-999.0,-999.0,-999.0
87,UNCX,wAGN,0.1578,10.98,17.313,20.588,23.488,34.713,44.463,54.688,0.157,0.252,0.307,9.607,0.037864063,0.020760033,-999.0,-999.0,-999.0
88,UNCX,NER,0.2834,11.1,18.088,21.713,24.063,34.438,44.613,55.188,-0.538,-0.073,0.057,9.252,0.022079408,0.017218024,-999.0,-999.0,-999.0
89,UNCXY,sAGN,0.109,10.71,22.613,23.913,24.663,34.238,45.163,54.563,0.557,0.582,0.657,9.477,0.14915177,0.01987958,-999.0,-999.0,-999.0
90,AGNX,LLR,0.1621,11.04,16.688,19.113,21.713,34.463,45.163,55.463,-1.213,-0.583,-0.338,9.567,0.0,0.020423371,-999.0,-999.0,-999.0
91,UNCX,LLR,0.0607,10.6,15.163,15.738,17.288,35.513,45.838,55.563,-1.533,-1.513,-1.513,9.757,0.023041144,0.015159371,-999.0,-999.0,-999.0
92,UNCXY,sAGN,0.2287,10.59,16.238,18.413,21.738,53.788,57.838,59.538,1.362,1.367,1.387,9.392,0.042637315,0.017803151,-999.0,-999.0,-999.0
93,UNCX,ELR,0.1692,10.99,16.338,18.538,21.463,35.063,45.488,55.638,-0.583,-0.348,-0.213,9.617,0.0,0.014753866,-999.0,-999.0,-999.0
94,UNCX,LLR,0.105,10.97,15.113,15.488,16.488,36.013,46.613,54.763,-0.793,-0.658,-0.573,9.667,0.02970124,0.016146848,-999.0,-999.0,-999.0
95,NOEL,NER,0.1093,10.86,15.563,17.388,20.788,35.163,45.338,55.488,-1.858,-1.418,-1.223,9.802,0.0,0.019375034,-999.0,-999.0,-999.0
96,SFX,sAGN,0.1991,10.86,18.413,19.813,21.863,34.863,49.213,57.663,1.022,1.122,1.202,9.212,0.09951857,0.025203353,-999.0,-999.0,-999.0
97,UNCX,LLR,0.1108,10.92,15.638,17.688,20.988,35.338,45.838,55.738,-1.148,-0.858,-0.603,9.647,0.0,0.026001425,-999.0,-999.0,-999.0
98,SFX,sAGN,0.1787,11.27,23.538,24.363,24.788,35.413,43.463,53.413,0.157,0.357,0.587,9.592,0.13635819,0.019561691,-999.0,-999.0,-999.0
99,UNCX,LLR,0.1296,10.82,15.338,16.413,18.038,35.463,45.888,55.363,-1.853,-1.343,-1.003,9.717,0.0,0.013417867,-999.0,-999.0,-999.0
100,UNCX,NER,0.1199,10.98,15.513,16.713,18.763,35.788,47.638,56.163,-0.068,-0.003,0.027,9.742,0.0,0.02183578,-999.0,-999.0,-999.0
101,AGNX,LLR,0.0812,11.37,19.188,21.763,23.638,34.088,43.613,53.588,-1.183,-0.863,-0.668,9.732,0.12038995,0.041356593,-999.0,-999.0,-999.0
102,UNCX,ELR,0.1697,11.26,15.713,17.238,19.588,35.038,45.663,55.713,-0.808,-0.468,-0.318,9.712,0.0,0.012250943,-999.0,-999.0,-999.0
103,SFX,sAGN,0.1269,10.63,19.113,21.738,23.663,36.388,49.613,57.588,0.137,0.252,0.352,9.432,0.072252065,0.02252455,-999.0,-999.0,-999.0
104,AGNXY,sAGN,0.2597,10.46,18.163,21.938,24.063,55.013,58.463,59.563,1.942,1.977,1.997,8.132,0.05067616,0.012746547,-999.0,-999.0,-999.0
105,SFXY,UNC,0.1501,10.65,20.013,21.338,22.413,41.663,54.838,58.338,0.877,0.957,1.017,9.122,0.08315633,0.020901822,-999.0,-999.0,-999.0
106,AGNXY,SF,0.0858,9.892,23.188,24.088,24.738,54.013,57.713,59.463,0.487,0.597,0.647,8.982,0.11810444,0.021594355,-999.0,-999.0,-999.0
107,AGNXY,sAGN,0.0646,10.74,22.163,22.238,23.313,57.488,57.488,59.538,0.852,0.892,0.942,9.247,0.06334066,0.43407372,-999.0,-999.0,-999.0
108,SFXY,sAGN,0.1969,10.92,17.913,20.888,23.563,38.888,45.588,55.263,1.122,1.122,1.122,9.627,0.026236566,0.017147733,-999.0,-999.0,-999.0
109,AGNX,LLR,0.0766,10.62,15.738,17.838,21.138,35.113,45.138,55.313,-1.988,-1.613,-1.333,9.762,0.0,0.022927172,-999.0,-999.0,-999.0
110,UNCXY,sAGN,0.0621,9.982,18.513,20.613,22.813,35.888,47.938,56.913,-0.718,-0.623,-0.528,9.447,0.044331208,0.0124897435,-999.0,-999.0,-999.0
111,UNCX,ELR,0.0774,10.8,15.838,17.113,18.488,36.513,47.188,55.488,0.172,0.237,0.242,9.482,0.058392752,0.033454698,-999.0,-999.0,-999.0
112,AGNX,LLR,0.1252,10.77,16.813,18.963,21.113,31.638,35.913,42.163,0.562,0.627,0.687,9.387,0.05840316,0.032992274,-999.0,-999.0,-999.0
113,AGNXY,sAGN,0.078,10.43,19.563,22.613,24.113,55.938,58.663,59.838,0.482,0.482,0.497,9.117,0.03540671,0.023009567,-999.0,-999.0,-999.0
114,AGNXY,wAGN,0.0819,11.12,16.088,17.588,19.238,36.313,48.488,56.288,0.107,0.152,0.182,9.712,0.008181642,0.049847424,-999.0,-999.0,-999.0
115,UNCXY,wAGN,0.1039,10.79,19.563,22.338,24.238,34.813,44.813,55.288,-0.563,-0.413,-0.293,9.617,0.072396845,0.028037546,-999.0,-999.0,-999.0
116,SFX,sAGN,0.1816,10.86,16.213,18.988,22.563,34.213,44.588,55.063,0.132,0.347,0.487,9.357,0.0,0.030757431,-999.0,-999.0,-999.0
117,SFXY,SF,0.1067,9.982,23.488,24.338,24.838,46.188,54.113,57.888,0.547,0.607,0.677,8.957,0.117393784,0.017957075,-999.0,-999.0,-999.0
118,SFX,UNC,0.0349,10.85,18.688,19.463,20.138,48.763,54.588,58.763,0.017,0.087,0.122,9.542,0.07465957,1.0327538,-999.0,-999.0,-999.0
119,SFX,sAGN,0.127,10.74,21.213,22.888,24.163,33.788,42.513,53.938,0.037,0.097,0.192,9.417,0.0846591,0.015280538,-999.0,-999.0,-999.0
120,NOEL,NER,0.113,10.62,15.088,15.313,16.013,36.338,46.763,54.588,-1.878,-1.353,-1.003,9.587,0.0,0.02133422,-999.0,-999.0,-999.0
121,NOEL,NER,0.1869,11.16,16.488,19.363,22.788,34.738,45.063,55.388,-0.353,-0.128,0.027,9.642,0.017877499,0.051405273,-999.0,-999.0,-999.0
122,SFXY,SF,0.1814,9.837,18.688,22.038,24.163,37.313,48.113,56.713,0.597,0.672,0.767,8.802,0.06004988,0.01814364,-999.0,-999.0,-999.0
123,UNCX,ELR,0.1142,11.12,15.938,17.888,20.488,33.113,40.713,50.438,0.182,0.232,0.302,9.662,0.01418639,0.054264992,-999.0,-999.0,-999.0
124,AGNX,NER,0.078,10.57,15.913,17.238,18.788,35.513,47.088,56.513,-0.673,-0.568,-0.423,9.637,0.020882662,0.023822656,-999.0,-999.0,-999.0
125,NOEL,NER,0.1792,11.05,16.188,18.963,22.513,34.488,44.738,55.163,-1.173,-0.673,-0.508,9.682,0.013384572,0.019247714,-999.0,-999.0,-999.0
126,UNCX,ELR,0.1108,10.51,17.763,21.163,23.863,32.588,38.563,47.038,0.092,0.167,0.247,9.547,0.04608471,0.025549235,-999.0,-999.0,-999.0
127,UNCX,NER,0.1097,10.91,17.388,19.513,21.763,35.813,47.988,56.438,-0.068,-0.018,0.047,9.607,0.020957526,0.027013956,-999.0,-999.0,-999.0
128,UNCX,ELR,0.2607,11.4,15.663,17.088,19.288,35.338,45.488,55.538,-0.248,-0.033,0.142,9.722,0.0,0.022523997,-999.0,-999.0,-999.0
129,AGNX,LLR,0.1116,10.81,17.963,20.788,23.413,33.588,43.563,54.863,0.107,0.172,0.242,9.542,0.03419781,0.036136452,-999.0,-999.0,-999.0
130,UNCXY,sAGN,0.1044,10.35,15.938,17.938,20.438,34.788,45.163,54.838,0.192,0.262,0.317,9.407,0.039771803,0.03082101,-999.0,-999.0,-999.0
131,UNCX,LLR,0.0785,10.23,15.138,15.613,17.088,35.438,45.488,54.563,-2.313,-1.838,-1.383,9.717,0.0450964,0.019553537,-999.0,-999.0,-999.0
132,SFX,UNC,0.1636,10.96,16.913,18.188,19.263,34.313,46.313,55.563,-0.188,0.012,0.162,9.437,0.029273026,0.015050942,-999.0,-999.0,-999.0
133,UNCXY,sAGN,0.1026,10.27,19.813,20.938,22.138,41.888,54.688,59.088,0.327,0.327,0.327,9.007,0.10497599,0.025842156,-999.0,-999.0,-999.0
134,UNCX,ELR,0.1196,10.77,15.888,17.938,20.888,34.263,44.488,53.988,-0.093,0.012,0.097,9.602,0.0,0.023467112,-999.0,-999.0,-999.0
135,NOEL,NER,0.1308,10.77,15.413,16.863,19.713,34.763,45.338,55.788,-1.163,-0.883,-0.708,9.627,0.0,0.02337478,-999.0,-999.0,-999.0
136,AGNX,LLR,0.1284,10.97,17.538,19.513,21.713,34.963,45.588,55.513,-0.238,-0.238,-0.238,9.747,0.016846579,0.0149311535,-999.0,-999.0,-999.0
137,AGNX,LLR,0.0401,10.94,20.088,22.238,23.863,33.888,42.613,52.663,-1.398,-1.133,-1.123,9.717,0.09576435,0.08732775,-999.0,-999.0,-999.0
138,AGNX,LLR,0.075,9.907,16.638,19.013,21.738,33.888,44.638,55.013,-0.508,-0.418,-0.348,9.567,0.0,0.019899108,-999.0,-999.0,-999.0
139,NOEL,NER,0.1574,11.03,16.388,18.863,22.113,34.713,45.213,55.538,-1.583,-1.128,-0.843,9.827,0.0,0.01700685,-999.0,-999.0,-999.0
140,AGNXY,sAGN,0.1572,10.97,17.388,19.188,20.963,54.388,57.688,59.213,1.047,1.087,1.142,9.212,0.037308633,0.030017719,-999.0,-999.0,-999.0
141,AGNX,LLR,0.1044,10.99,15.688,17.338,19.863,34.813,44.763,55.188,-0.903,-0.738,-0.618,9.832,0.0,0.026129529,-999.0,-999.0,-999.0
142,AGNX,LLR,0.0829,10.75,15.788,17.738,20.388,35.163,45.288,55.488,-1.518,-1.168,-1.093,9.847,0.0,0.0164482,-999.0,-999.0,-999.0
143,SFXY,SF,0.0208,9.177,20.288,22.263,23.913,45.263,55.038,59.113,-1.103,-1.068,-0.933,9.367,0.095627956,0.02606629,-999.0,-999.0,-999.0
144,UNCXY,sAGN,0.1261,10.53,21.938,23.088,24.138,39.763,52.513,58.913,0.472,0.532,0.622,9.102,0.14537205,0.018298458,-999.0,-999.0,-999.0
145,UNCXY,sAGN,0.2534,10.75,16.313,18.413,21.738,31.063,35.463,47.488,1.112,1.112,1.112,9.347,0.012321602,0.01812367,-999.0,-999.0,-999.0
146,UNCXY,sAGN,0.122,10.5,16.263,18.338,20.638,34.863,45.838,54.888,0.222,0.292,0.357,9.397,0.006706656,0.020582337,-999.0,-999.0,-999.0
147,NOEL,NER,0.1792,11.01,16.638,18.338,20.013,35.238,44.738,55.488,-0.718,-0.278,-0.018,9.582,0.0,0.02695437,-999.0,-999.0,-999.0
148,AGNXY,LLR,0.1108,10.83,17.288,20.513,23.188,34.888,44.913,55.288,-1.368,-1.058,-0.903,9.877,0.018928774,0.026480606,-999.0,-999.0,-999.0
149,AGNX,LLR,0.0795,10.89,18.238,20.013,22.188,35.163,46.013,55.888,-1.968,-1.968,-0.413,9.712,0.04619359,0.03494364,-999.0,-999.0,-999.0
150,UNCX,NER,0.0765,10.96,20.263,22.438,24.138,34.488,44.663,54.863,-0.683,-0.558,-0.473,9.732,0.09437639,0.028331313,-999.0,-999.0,-999.0
151,SFX,wAGN,0.2061,10.95,17.563,20.163,22.763,33.838,45.038,55.613,0.617,0.692,0.767,9.427,0.0,0.018306969,-999.0,-999.0,-999.0
152,NOEL,NER,0.302,11.34,15.338,16.613,20.163,35.138,44.963,54.863,-0.293,0.022,0.232,9.592,0.0906121,0.026301697,-999.0,-999.0,-999.0
153,AGNXY,sAGN,0.2933,10.75,18.988,21.763,24.513,52.138,56.163,59.188,1.382,1.382,1.382,9.027,-999.0,-999.0,-999.0,-999.0,-999.0
154,SFXY,SF,0.0834,9.322,15.963,17.988,20.613,37.588,52.588,57.763,0.167,0.302,0.522,9.047,0.026123518,0.018175466,-999.0,-999.0,-999.0
155,UNCX,NER,0.2716,11.68,15.388,16.638,19.238,35.113,44.788,54.838,-0.048,0.142,0.367,9.692,0.04877255,0.023131344,-999.0,-999.0,-999.0
156,UNCXY,sAGN,0.0208,9.807,19.538,20.863,22.313,41.363,52.563,57.088,-0.298,-0.273,-0.183,9.277,0.3916256,0.07350876,-999.0,-999.0,-999.0
