,GAMAID,0I,OI_x,ID,RaHer,DecHer,RaSDSS,DECSDSS,z,size,morph,LIR,Ms,Md,mdms,SFR,SSFR,age_x,tLB,Td,fu,tauV,tauVISM,NUVr,sigmaden,HaEW,MH2,MH2err,mh2ms,mh2mserr,mh2md,mh2mderr,numCO,velFWHM,evelFWHM,Fint,eFint,LpCO,eLpCO,MhtwoCO,MHtwoCOerr,det,velFWHM2,evelFWHM2,Fint2,eFint2,LpCO2,eLpCO2,Mh22,eMH22,det2,MHI,eMHI,S12,S25,S60,S100,F100,E100,F160,E160,F250,E250,F350,E350,F500,E500,rer,sersicr,errsersicr,SURVEY,SURVEY_CODE,IS_BEST,IS_SBEST,QC,met,met_er0,met_er1,SFR_HA,SFR_HA_er,age_y,AGN,HA,HA_er,HB,HB_er,OI_y,OI_er,OIII,OIII_er,NII,NII_er,SII,SII_er,HA_EW,HA_EW_er
23,372196,0,,J085842.0+010956,134.67516,1.165656,134.67665,1.166025,0.119885,10.1741,E,10.420000076,10.960000038,7.7300000191,-3.2300000191,-0.25,-11.180000305,9.5799999237,9.3100004196,19.5,0.86000001431,1.4900000095,0.36000001431,4.1199998856,0.67000001669,3.5499999523,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.026287019253,-99.0,0.026287019253,0.061579447,0.011527344,0.030633906104,0.0079814727666,0.020868427623,0.0097988789332,3.0923240185,3.8894000053,0.061099998653,SDSS,1,True,True,13,-3.043694364952086,0.08587724917927887,0.118151889798951,0.4397856434045131,0.060213175170429276,9.5799999237,UNC,191.5296,26.223242,0.0,26.540667,14.95877,14.330273,106.839775,27.463,114.287056,19.908577,54.83713,17.590288,2.159961,0.29914746
24,301730,0,,J085944.2+011708,134.93435,1.285629,134.93298,1.2854786,0.16427,5.60714,E,10.430000305,10.880000114,8.1099996567,-2.7700004578,-0.86000001431,-11.729999542,9.6599998474,9.3699998856,17.200000763,0.93999999762,2.1800000668,0.51999998093,-4.8400001526,0.58999997377,1.7799999714,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.024104401469,-99.0,0.024104401469,0.047300146021,0.0068326034997,0.038731823868,0.0080313777652,0.014221686729,0.0092987550111,1.420545578,2.3129000664,0.076099999249,GAMA,5,True,True,0,-99.9,-99.9,-99.9,0.0506150145180454,-,9.6599998474,NOEL,-1.2663277,6.411899,-13.623261,10.078259,-0.9626696,5.074397,32.63476,7.7237625,3.1885111,5.60878,3.428095,4.8050237,-0.04505473,0.22732049
25,347169,0,,J090634.8+020752,136.64532,2.131382,136.64457,2.1320456,0.24597,8.46501,E,10.880000114,11.390000343,8.25,-3.1400003433,0.31999999285,-11.050000191,9.5900001526,9.4600000381,19.0,0.81999999285,1.1399999857,0.31000000238,4.2899999619,-99.0,2.3699998856,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.024831939489,-99.0,0.024831939489,0.044639885338,0.006870248698,0.035022218976,0.0080080887659,0.011738816819,0.0093989886155,3.6740140915,6.6645002365,0.29699999094,GAMA,5,True,True,13,-3.1699265839283988,0.09495713561868505,0.1361862218082365,0.7552648526824087,0.0864556935135563,9.5900001526,UNC,74.809006,8.563439,0.0,12.926157,12.733054,10.743002,48.98798,11.10861,29.977415,7.036758,4.1743374,7.6831856,1.5759305,0.18398443
26,622848,0,,J090210.6+004805,135.5442,0.801648,135.5449,0.8019256,0.199343,6.63658,E,10.880000114,10.699999809,8.1000003815,-2.5999994278,0.80000001192,-9.8900003433,9.2700004578,9.4600000381,18.299999237,0.46000000834,1.5099999905,0.31999999285,2.9400000572,-99.0,9.970000267,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.024104401469,-99.0,0.024104401469,0.04595328448,0.0066820227063,0.034595253989,0.0079116057687,0.012309939544,0.0092726525099,2.9310278893,2.4326000214,0.064099997282,SDSS,1,True,True,10,-3.353523165525089,0.09022695202047837,0.126598978317094,1.8880062016772317,0.12015871902039535,9.2700004578,NOEL,288.22598,18.343618,-11.697546,21.57339,11.208417,9.480898,31.587767,17.510263,64.72488,17.189764,31.372911,12.669852,8.0032425,0.5254302
27,372105,0,,J085727.4+010847,134.36443,1.14642,134.3645,1.1455509,0.0699309,9.78617,E,9.8400001526,10.300000191,7.0900001526,-3.2100000381,-0.66000002623,-10.899999619,9.6300001144,9.4799995422,20.100000381,0.77999997139,1.5099999905,0.31000000238,4.2300000191,2.7999999523,5.1900000572,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.026287019253,-99.0,0.026287019253,0.049047485,0.011451097,0.023667168308,0.0081012447631,-0.0073462879248,0.0095493390222,3.5186505318,1.1633000374,0.012600000016,SDSS,1,True,True,10,-3.311687820310154,0.09676574797958054,0.1399689744714272,0.1518723264305314,0.012222182789390676,9.6300001144,NOEL,198.3808,15.965031,-127.978096,29.531973,-1.8071393,12.832505,40.9361,27.809622,50.833084,14.052716,58.737038,12.022274,2.9815989,0.24529853
28,210477,0,,J091359.4+000909,138.49779,0.152756,138.49823,0.15172666,0.16825,5.13716,E,10.409999847,10.579999924,8.0500001907,-2.529999733,-0.55000001192,-11.170000076,9.3800001144,8.9099998474,17.5,0.92000001669,1.9500000477,0.55000001192,4.7800002098,6.0199999809,1.2999999523,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.024104401469,-99.0,0.024104401469,0.044639885338,0.0067803185019,0.031854915069,0.0081134437628,0.012706697562,0.0094177824163,1.4859726429,2.3849999905,0.10059999675,GAMA,5,True,True,13,-3.595611400670248,0.09743024903575968,0.1413756961647689,0.6208174420451116,0.023795643884618807,9.3800001144,UNC,134.20862,5.144154,-16.840845,12.0323925,8.755249,4.3962784,26.452965,8.834588,14.044,4.514338,17.777992,4.636273,6.0431795,0.2571055
29,301937,0,,J090236.7+011909,135.65304,1.319363,135.65325,1.3202191,0.0934658,12.9628,E,10.140000343,11.029999733,7.4899997711,-3.5399999619,-1.3700000048,-12.369999886,9.7700004578,9.470000267,19.700000763,0.94999998808,1.5800000429,0.18999999762,5.3600001335,0.17000000179,0.37999999523,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.02913925983,-99.0,0.02913925983,0.055313468,0.01235581,0.038897432,0.01253475,0.0091912127063,0.0096453962264,5.4387464523,6.0861001015,0.10230000317,SDSS,1,True,True,0,-99.9,-99.9,-99.9,-99.9,-99.9,9.7700004578,UNC,-121.20925,14.967602,0.0,26.389662,12.5075035,13.224696,157.32878,25.251234,26.692724,12.6376,5.075199,13.707618,-1.0652137,0.13214198
30,204240,0,,J090849.5-001846,137.20662,-0.312799,137.20752,-0.3127353,0.2186,7.25425,E,10.760000229,11.069999695,8.0799999237,-2.9899997711,0.40000000596,-10.649999619,9.5,9.3900003433,19.100000381,0.72000002861,1.6200000048,0.31999999285,4.0,-99.0,2.4600000381,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.024104401469,-99.0,0.024104401469,0.043084929506,0.0068566545986,0.026875505214,0.0081921827605,0.0092486382089,0.0094000327156,3.0889341831,6.3298997879,0.29469999671,SDSS,1,True,True,10,-2.71594755400139,0.12307673458173064,0.2038866661236835,0.3337877884382361,0.10848456422570027,9.5,NOEL,42.16063,13.702651,-121.727974,20.533539,15.721802,9.10799,30.226952,17.301552,70.735344,10.563016,26.694023,10.14245,1.221813,0.40128157
31,198246,0,,J091435.2-003919,138.64705,-0.655507,138.64754,-0.65506102,0.31742,8.28856,E,11.239999771,11.18999958,8.1700000763,-3.0199995041,1.0900000334,-10.090000153,9.3599996567,9.4099998474,21.5,0.54000002146,1.7200000286,0.43000000715,3.0,-99.0,6.2100000381,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.024104401469,-99.0,0.024104401469,0.044152589159,0.0068461975991,0.020384528404,0.0079714917669,0.0075906073356,0.0097592031314,4.4771728516,2.2153999805,0.088200002909,GAMA,5,True,True,10,-3.233615887445091,0.14362489982498236,0.2698352963538668,2.2694217680741824,0.3707659922588537,9.3599996567,NOEL,132.39847,21.630554,-17.782654,17.408073,-10.81212,22.49771,1.0351578,15.283311,43.398792,17.78003,-99999.0,-99999.0,5.939723,1.0043774
32,210486,0,,J091409.6+000439,138.54029,0.077577,138.54071,0.07766581,0.16458,6.40927,E,10.489999771,10.68999958,8.0600004196,-2.6299991608,0.1099999994,-10.550000191,9.4499998093,9.1499996185,17.399999619,0.74000000954,2.2000000477,0.50999999046,4.1500000954,6.9899997711,3.9900000095,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.024104401469,-99.0,0.024104401469,0.042682335024,0.0067907755015,0.036746713926,0.0081212067626,0.015337829678,0.0092653438096,2.116038084,2.9042000771,0.12150000036,GAMA,5,True,True,10,-3.4544289403297816,0.1256825976819023,0.2113118729977408,0.4527931238780452,0.031064567353199856,9.4499998093,NOEL,102.57876,7.0375733,-7.946872,13.634705,9.924105,6.150986,8.66738,10.476774,16.755928,7.0023665,4.113337,5.9281845,4.830969,0.35177776
33,3631168,0,,J090938.9-005753,137.41229,-0.96496,137.41234,-0.96554143,0.13371,5.88916,E,10.220000267,10.56000042,7.6700000763,-2.8900003433,-1.1000000238,-11.680000305,9.4799995422,9.1000003815,18.799999237,0.93999999762,2.1600000858,0.5,-4.9600000381,0.039999999106,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.024104401469,-99.0,0.024104401469,0.037436058354,0.0067677701025,0.027739416189,0.0080446857648,0.0029297447295,0.0091337872038,2.0707476139,4.5886998177,0.20739999413,GAMA,5,True,True,0,-99.9,-99.9,-99.9,0.0139749527238171,-,9.4799995422,NOEL,-8.565748,6.7044296,-55.860653,14.839429,-3.0477855,5.9602985,-21.161022,15.370859,1.1943481,5.4256663,11.842111,6.944907,-0.3582896,0.28031674
