SPECID,CATAID_1,Z_x,BPT,WHAN,RA,DEC,Z_y,URL,URL_IMG,DIST,IS_SBEST,IS_BEST
1032601712566757376,485402,0.2773409,AGNXY,sAGN,215.49367,-1.82599,0.27738,http://www.gama-survey.org/dr3/data/spectra/gama/reduced_27/1d/G15_Y6_096_137.fit,http://www.gama-survey.org/dr3/data/spectra/gama/reduced_27/1d/png/G15_Y6_096_137.png,0.07,True,False
1032603086956292096,507985,0.27854088,UNCX,NER,215.29995,-1.64555,0.27856,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0917-52400-0556.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0917-52400-0556.png,0.04,True,True
1032609958903965696,508073,0.092063665,AGNX,LLR,215.84631,-1.72311,0.09208,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0917-52400-0581.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0917-52400-0581.png,0.04,True,True
1032609958903965696,508073,0.092063665,AGNX,LLR,215.84633,-1.72328,0.09174,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/328312.fit,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/png/328312.png,0.62,True,False
1032611058415593472,485459,0.12795313,UNCX,wAGN,215.7864,-1.85699,0.12797,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0917-52400-0585.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0917-52400-0585.png,0.05,True,True
1032611058415593472,485459,0.12795313,UNCX,wAGN,215.78641,-1.85717,0.12757,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/328324.fit,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/png/328324.png,0.69,True,False
1032611058415593472,485459,0.12795313,UNCX,wAGN,215.78641,-1.85717,0.1284,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/328324_2.fit,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/png/328324_2.png,0.69,False,False
1032611058415593472,485459,0.12795313,UNCX,wAGN,215.78637,-1.85698,0.12786,http://www.gama-survey.org/dr3/data/spectra/gama/reduced_27/1d/G15_Y6_096_113.fit,http://www.gama-survey.org/dr3/data/spectra/gama/reduced_27/1d/png/G15_Y6_096_113.png,0.07,True,False
1032614356950476800,485436,0.091193676,UNCX,NER,215.68987,-1.86422,0.09121,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0917-52400-0597.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0917-52400-0597.png,0.11,True,True
1032614356950476800,485436,0.091193676,UNCX,NER,215.68999,-1.86422,0.09125,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/328337.fit,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/png/328337.png,0.51,True,False
1032619854508615680,492267,0.05496422,AGNX,LLR,215.75827,-1.43905,0.05498,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0917-52400-0617.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0917-52400-0617.png,0.08,True,True
1032619854508615680,492267,0.05496422,AGNX,LLR,215.75823,-1.43931,0.05498,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/328326.fit,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/png/328326.png,0.87,True,False
1033691328656992256,511892,0.055218384,AGNX,LLR,216.55728,-1.18999,0.05524,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0918-52404-0419.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0918-52404-0419.png,0.07,True,True
1033691328656992256,511892,0.055218384,AGNX,LLR,216.5573,-1.19026,0.05466,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/326774.fit,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/png/326774.png,0.94,True,False
1033691328656992256,511892,0.055218384,AGNX,LLR,216.55725,-1.19003,0.05521,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0305-51613-0109.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0305-51613-0109.png,0.11,False,False
1033691328656992256,511892,0.055218384,AGNX,LLR,216.55733,-1.19,0.05516,http://www.gama-survey.org/dr3/data/spectra/6dfgs/g1426138-011124.fit,http://www.gama-survey.org/dr3/data/spectra/6dfgs/png/g1426138-011124.png,0.25,True,False
1034794413781444608,492762,0.093234986,UNCXY,sAGN,218.31299,-1.35545,0.09326,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0919-52409-0336.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0919-52409-0336.png,0.03,True,True
1034794413781444608,492762,0.093234986,UNCXY,sAGN,218.31285,-1.35558,0.09401,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/331575.fit,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/png/331575.png,0.7,True,False
1034813380357023744,545255,0.2851106,NOEL,NER,218.86202,-0.93306,0.28514,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0919-52409-0405.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0919-52409-0405.png,0.05,True,True
1034817503525627904,512395,0.24449152,UNCXY,SFG,218.73545,-1.19057,0.24452,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0919-52409-0420.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0919-52409-0420.png,0.01,True,True
1034817503525627904,512395,0.24449152,UNCXY,SFG,218.7353,-1.19042,0.24511,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/331433.fit,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/png/331433.png,0.75,True,False
1034836470101207040,508943,0.0882651,UNCX,ELR,219.04471,-1.50268,0.08829,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0919-52409-0489.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0919-52409-0489.png,0.03,True,True
1034836470101207040,508943,0.0882651,UNCX,ELR,219.04456,-1.50283,0.08816,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/332501.fit,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/png/332501.png,0.73,True,False
1034837294734927872,508981,0.08540516,AGNXY,wAGN,219.18576,-1.45083,0.08543,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0919-52409-0492.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0919-52409-0492.png,0.04,True,True
1034871929351202816,493172,0.13835394,AGNXY,sAGN,219.82751,-1.3069,0.13838,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0919-52409-0618.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0919-52409-0618.png,0.06,True,True
1034871929351202816,493172,0.13835394,AGNXY,sAGN,219.82758,-1.30693,0.13809,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/331001.fit,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/png/331001.png,0.33,True,False
1034872204229109760,493251,0.13818395,AGNXY,sAGN,220.13042,-1.29692,0.13821,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0919-52409-0619.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0919-52409-0619.png,0.07,True,True
1034872204229109760,493251,0.13818395,AGNXY,sAGN,220.13042,-1.29692,0.13825,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0920-52411-0329.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0920-52411-0329.png,0.07,False,False
1034872204229109760,493251,0.13818395,AGNXY,sAGN,220.13033,-1.2971,0.13793,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/330903.fit,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/png/330903.png,0.66,True,False
1034872204229109760,493251,0.13818395,AGNXY,sAGN,220.13033,-1.2971,0.13822,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/330903_2.fit,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/png/330903_2.png,0.66,False,False
1035955223216023552,509397,0.05581171,SFGX,UNC,221.19367,-1.51911,0.05584,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0920-52411-0463.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0920-52411-0463.png,0.05,True,True
1035955223216023552,509397,0.05581171,SFGX,UNC,221.19362,-1.51931,0.05609,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/332046.fit,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/png/332046.png,0.75,True,False
1035963744431138816,486785,0.17841843,AGNXY,sAGN,221.52819,-1.67667,0.17845,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0920-52411-0494.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0920-52411-0494.png,0.04,True,True
1035963744431138816,486785,0.17841843,AGNXY,sAGN,221.52832,-1.67691,0.17831,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/331977.fit,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/png/331977.png,1.03,True,False
1035965943454394368,505788,0.04278206,SFGX,sAGN,221.70273,-1.95864,0.04281,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0920-52411-0502.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0920-52411-0502.png,0.05,True,True
1035965943454394368,505788,0.04278206,SFGX,sAGN,221.70304,-1.95877,0.04325,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/331935.fit,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/png/331935.png,1.17,True,False
1035965943454394368,505788,0.04278206,SFGX,sAGN,221.70271,-1.95858,0.04273,http://www.gama-survey.org/dr3/data/spectra/6dfgs/g1446487-015731.fit,http://www.gama-survey.org/dr3/data/spectra/6dfgs/png/g1446487-015731.png,0.27,True,False
1035977488326486016,505832,0.05742167,UNCX,LLR,221.94561,-1.896,0.05745,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0920-52411-0544.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0920-52411-0544.png,0.04,True,True
1035977488326486016,505832,0.05742167,UNCX,LLR,221.94566,-1.89615,0.05759,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/331877.fit,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/png/331877.png,0.61,True,False
1036002227338110976,486997,0.14663927,UNCX,ELR,222.53035,-1.59707,0.14667,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0920-52411-0634.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0920-52411-0634.png,0.11,True,True
317515896174176256,534658,0.14364846,AGNX,LLR,174.41384,-0.97089,0.14366,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/293737.fit,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/png/293737.png,0.81,True,False
317515896174176256,534658,0.14364846,AGNX,LLR,174.4139,-0.97067,0.14366,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0282-51630-0044.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0282-51630-0044.png,0.03,False,False
317515896174176256,534658,0.14364846,AGNX,LLR,174.4139,-0.97067,0.14372,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0282-51658-0044.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0282-51658-0044.png,0.03,True,True
317525791778826240,53744,0.13478902,UNCXY,SFG,174.79019,-0.26921,0.13455,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/293474.fit,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/png/293474.png,0.59,True,False
317525791778826240,53744,0.13478902,UNCXY,SFG,174.79024,-0.26907,0.13484,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0282-51630-0068.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0282-51630-0068.png,0.06,False,False
317525791778826240,53744,0.13478902,UNCXY,SFG,174.79024,-0.26907,0.13486,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0282-51658-0080.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0282-51658-0080.png,0.06,True,True
317525791778826240,53744,0.13478902,UNCXY,SFG,174.79024,-0.26907,0.13482,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0283-51660-0312.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0283-51660-0312.png,0.06,False,False
317525791778826240,53744,0.13478902,UNCXY,SFG,174.79024,-0.26907,0.13481,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0283-51959-0312.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0283-51959-0312.png,0.06,False,False
317525791778826240,53744,0.13478902,UNCXY,SFG,174.79024,-0.26907,0.13483,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0283-51584-0355.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0283-51584-0355.png,0.06,False,False
317525791778826240,53744,0.13478902,UNCXY,SFG,174.79025,-0.26906,0.13509,http://www.gama-survey.org/dr3/data/spectra/gama/reduced_27/1d/G12_Y1_AT_117.fit,http://www.gama-survey.org/dr3/data/spectra/gama/reduced_27/1d/png/G12_Y1_AT_117.png,0.0,True,False
317552454935799808,53654,0.12737948,UNCXY,sAGN,174.05669,-0.34439,0.12745,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0282-51658-0177.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0282-51658-0177.png,0.07,True,True
317552454935799808,53654,0.12737948,UNCXY,sAGN,174.05669,-0.34439,0.12739,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0282-51630-0178.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0282-51630-0178.png,0.07,False,False
317659382441601024,21859,0.110960506,NOEL,LLR,174.45767,1.19645,0.11081,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/293707.fit,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/png/293707.png,0.8,True,False
317659382441601024,21859,0.110960506,NOEL,LLR,174.45777,1.19665,0.11108,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0282-51630-0565.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0282-51630-0565.png,0.01,False,False
