SPECID,CATAID_1,Z_x,BPT,WHAN,RA,DEC,Z_y,URL,URL_IMG,DIST,IS_SBEST,IS_BEST
G09_Y1_IS2_109,663361,0.18238913,AGNXY,sAGN,140.4385,-0.95352,0.18233,http://www.gama-survey.org/dr3/data/spectra/gama/reduced_27/1d/G09_Y1_IS2_109.fit,http://www.gama-survey.org/dr3/data/spectra/gama/reduced_27/1d/png/G09_Y1_IS2_109.png,0.07,True,True
G09_Y2_004_112,383215,0.31847584,AGNXY,sAGN,140.39075,2.054,0.31844,http://www.gama-survey.org/dr3/data/spectra/gama/reduced_27/1d/G09_Y2_004_112.fit,http://www.gama-survey.org/dr3/data/spectra/gama/reduced_27/1d/png/G09_Y2_004_112.png,0.07,True,True
G09_Y2_029_112,621987,0.19263767,SFGX,sAGN,129.94567,0.67452,0.19254,http://www.gama-survey.org/dr3/data/spectra/gama/reduced_27/1d/G09_Y2_029_112.fit,http://www.gama-survey.org/dr3/data/spectra/gama/reduced_27/1d/png/G09_Y2_029_112.png,0.0,True,True
G09_Y4_227_161,3581626,0.30141208,SFGXY,SFG,132.41404,-1.71226,0.30134,http://www.gama-survey.org/dr3/data/spectra/gama/reduced_27/1d/G09_Y4_227_161.fit,http://www.gama-survey.org/dr3/data/spectra/gama/reduced_27/1d/png/G09_Y4_227_161.png,0.04,True,True
G12_Y1_AS2_028,136554,0.26713353,NOEL,NER,175.507,-1.69683,0.26715,http://www.gama-survey.org/dr3/data/spectra/gama/reduced_27/1d/G12_Y1_AS2_028.fit,http://www.gama-survey.org/dr3/data/spectra/gama/reduced_27/1d/png/G12_Y1_AS2_028.png,0.14,True,True
G12_Y1_GS1_056,145119,0.28916526,NOEL,NER,182.80229,-1.34679,0.2892,http://www.gama-survey.org/dr3/data/spectra/gama/reduced_27/1d/G12_Y1_GS1_056.fit,http://www.gama-survey.org/dr3/data/spectra/gama/reduced_27/1d/png/G12_Y1_GS1_056.png,0.11,True,True
G12_Y4_211_216,170421,0.25392506,SFGX,UNC,174.42288,-2.35657,0.25403,http://www.gama-survey.org/dr3/data/spectra/gama/reduced_27/1d/G12_Y4_211_216.fit,http://www.gama-survey.org/dr3/data/spectra/gama/reduced_27/1d/png/G12_Y4_211_216.png,0.04,True,True
G15_Y1_AS2_056,567622,0.13465223,SFGX,SFG,212.4865,-0.42492,0.13472,http://www.gama-survey.org/dr3/data/spectra/gama/reduced_27/1d/G15_Y1_AS2_056.fit,http://www.gama-survey.org/dr3/data/spectra/gama/reduced_27/1d/png/G15_Y1_AS2_056.png,0.0,True,True
G15_Y1_GN1_028,107482,0.30572724,UNCXY,wAGN,220.229,0.98726,0.30582,http://www.gama-survey.org/dr3/data/spectra/gama/reduced_27/1d/G15_Y1_GN1_028.fit,http://www.gama-survey.org/dr3/data/spectra/gama/reduced_27/1d/png/G15_Y1_GN1_028.png,0.18,True,True
