SPECID_x,CATAID_1,SURVEY_x,Z,BPT,WHAN,OIIIR_FLUX_ERR,OIIIR_FLUX,SN_OIII
344629852562810880,106839,SDSS,0.029757837,UNCX,LLR,49.3317,-251.22546,-5.092576578548885
344635075243042816,618869,SDSS,0.1294315,UNCX,LLR,25.426136,-72.54952,-2.8533442910869353
344642771824437248,92773,SDSS,0.05431874,UNCX,LLR,32.571003,-109.364265,-3.357718673876884
345757951929116672,93060,SDSS,0.21619701,NOEL,LLR,15.733928,-63.325672,-4.024784656444341
345772795336091648,107313,SDSS,0.13451721,NOEL,LLR,16.512184,-47.603558,-2.882935291903239
346816231854073856,49704,SDSS,0.14154302,AGNX,LLR,17.162153,-50.663166,-2.9520285712404495
346898695226157056,107648,SDSS,0.1711931,SFGX,UNC,15.80714,-42.58127,-2.6937997639041598
346921235214526464,107688,SDSS,0.137383,UNCX,ELR,13.587132,-35.973286,-2.6475996553209318
346944050080802816,107796,SDSS,0.20245317,NOEL,NER,14.907797,-43.989334,-2.9507601961577556
347989966086760448,594911,SDSS,0.13876599,SFGX,sAGN,10.933056,-37.49906,-3.429879074981414
348019927778617344,17390,SDSS,0.091863275,AGNX,LLR,20.685139,-54.44256,-2.631964909687095
369428523514882048,177138,SDSS,0.10853477,AGNX,LLR,14.7549,-63.836,-4.326427153013575
369434021073020928,177186,SDSS,0.04772902,AGNX,LLR,13.01685,-88.20939,-6.776554235471716
369440068386973696,136616,SDSS,0.043158587,NOEL,LLR,20.075712,-187.43428,-9.336370236831451
369461783741622272,136842,SDSS,0.027147073,AGNX,LLR,46.084126,-280.918,-6.095764949518626
370546173292865536,137037,SDSS,0.09217082,AGNX,LLR,33.9186,-106.67311,-3.1449738491565102
371611605328226304,123994,SDSS,0.1551677,NOEL,NER,21.273388,-74.30476,-3.4928503160850544
371632496049154048,123852,SDSS,0.1015592,UNCX,NER,34.70405,-170.75948,-4.920448189764595
371668230177056768,184926,SDSS,0.076899886,SFGX,wAGN,34.208683,-100.53614,-2.9389070605261245
371673452857288704,184932,SDSS,0.077029884,NOEL,LLR,15.168959,-39.81785,-2.6249560039024433
372681430108497920,124828,SDSS,0.09724672,NOEL,LLR,16.24408,-55.416443,-3.411485476555151
372775163474765824,185322,SDSS,0.08132706,UNCX,ELR,70.33114,-143.2755,-2.0371559454318526
372819693695690752,138040,SDSS,0.13169599,UNCX,NER,26.022566,-58.19625,-2.2363763050884375
372821617841039360,178541,SDSS,0.070407294,AGNX,LLR,34.344585,-156.24017,-4.5491937084113845
373905736289249280,131586,SDSS,0.208481,UNCX,NER,12.112183,-38.83947,-3.206644912812166
373954939434592256,145200,SDSS,0.10451264,UNCX,ELR,25.904465,-95.69384,-3.694106016086416
4250438536824094720,789312,SDSS,0.23864505,SFGX,SFG,1.504736,-9.164617,-6.090514881015673
4292006403679715328,203093,SDSS,0.31073546,NOEL,NER,4.3571205,-10.661936,-2.4470142609092407
4295392350140104704,3626517,SDSS,0.2840788,NOEL,NER,5.6348877,-21.873472,-3.8817937755884646
4298858010706968576,622892,SDSS,0.29983717,NOEL,NER,4.0272374,-14.803737,-3.6759037349027404
4304504827582873600,217012,SDSS,0.18190922,SFGX,SFG,3.4834762,-27.060019,-7.768107903249059
4325838927094611968,69720,SDSS,0.3117877,NOEL,NER,5.9058943,-36.742893,-6.2213935999498
4527382158167769088,363354,SDSS,0.2845757,NOEL,LLR,5.6214104,-15.008869,-2.669947207554887
4529682331594129408,509633,SDSS,0.3143284,AGNX,LLR,4.476038,-11.593962,-2.5902286799173733
4530659253010563072,228776,SDSS,0.28852078,UNCX,NER,4.828682,-11.102996,-2.2993843868782413
4531908293253660672,16251,SDSS,0.21874553,NOEL,LLR,5.6794696,-25.662107,-4.518398513833052
4535163401974317056,544772,SDSS,0.31830457,NOEL,NER,4.485024,-10.007061,-2.231216822920011
4537460556860751872,238213,SDSS,0.053373877,AGNX,LLR,22.97715,-82.73896,-3.600923526198854
4538704928642170880,592985,SDSS,0.31954166,NOEL,NER,4.4336834,-9.98182,-2.2513605730170094
4539815980595412992,507981,SDSS,0.2794854,NOEL,NER,5.4704804,-20.219635,-3.6961351694085223
4539857212281454592,48097,SDSS,0.27838543,NOEL,NER,6.5291586,-21.96232,-3.3637289803314014
525834870807619584,209185,SDSS,0.05162856,UNCX,LLR,35.28929,-226.49072,-6.418114957824314
525904140040169472,371264,SDSS,0.077060215,AGNX,LLR,22.777552,-72.26991,-3.1728567670485397
525937125389002752,376033,SDSS,0.039897796,SFGX,ELR,40.54196,-238.6756,-5.887125338784804
525971210249463808,301191,SDSS,0.042167943,AGNX,LLR,40.969734,-302.2065,-7.376335418726419
526947576759478272,547862,SDSS,0.15777014,NOEL,LLR,22.225483,-48.186047,-2.1680539855984233
527016845992028160,371633,SDSS,0.028813446,AGNX,ELR,69.300896,-243.69876,-3.5165311571151983
527027291352492032,376245,SDSS,0.042664167,AGNX,LLR,51.954056,-284.12555,-5.468784766294281
527055878654814208,371976,SDSS,0.05799496,UNCX,wAGN,19.361925,-73.27163,-3.7843153508754943
527082541811787776,376633,SDSS,0.07190569,UNCX,LLR,16.585503,-56.89881,-3.430635175791774
528073751561005056,574285,SDSS,0.052765287,UNCX,LLR,35.391018,-220.73357,-6.236994087030782
528117182270302208,209581,SDSS,0.109478265,UNCX,NER,19.052946,-61.016506,-3.2024709459628977
528172157851691008,381979,SDSS,0.058195572,SFGX,wAGN,30.728771,-88.975784,-2.8955204228636418
529231262695581696,197555,SDSS,0.048342656,UNCX,LLR,44.603443,-189.21304,-4.242117363002673
529333792154871808,216187,SDSS,0.09517412,UNCX,LLR,11.756547,-31.433266,-2.6736818217117664
530350565448771584,377132,SDSS,0.2899913,NOEL,NER,9.304663,-31.637064,-3.4001300208293412
530406090785974272,346977,SDSS,0.1873172,UNCX,LLR,10.722931,-28.96723,-2.7014283687920773
530434952966203392,382505,SDSS,0.05612198,UNCX,LLR,18.914454,-127.277626,-6.729119751487407
530447872227829760,382659,SDSS,0.05543195,AGNX,LLR,26.040424,-71.47658,-2.7448316509746538
531442106137339904,575339,SDSS,0.05756103,AGNX,LLR,19.55854,-43.642765,-2.231391760325668
531477015631521792,204490,SDSS,0.07022092,AGNX,LLR,24.64651,-126.255424,-5.12264917020706
531506152689657856,197865,SDSS,0.2263296,NOEL,NER,14.948828,-44.88102,-3.0023102814481506
531558929247791104,601103,SDSS,0.16482012,NOEL,LLR,28.743084,-57.601067,-2.003997448568845
532562782927742976,218733,SDSS,0.14154151,NOEL,LLR,9.786318,-45.848473,-4.684956385026524
532569654875416576,373327,SDSS,0.20247373,NOEL,NER,11.528129,-58.553783,-5.079209557769522
532680980427728896,347955,SDSS,0.28253663,NOEL,NER,9.293247,-46.213905,-4.972848026098951
5396513664801439744,599000,SDSS,0.07849662,SFGX,sAGN,13.053481,-44.768894,-3.429651753428837
