SPECID,CATAID_x,Z_x,BPT,WHAN,mass_stellar_percentile16,mass_stellar_percentile50,mass_stellar_percentile84,CATAID_y,HA_REDCHI_EMB,HA_FITFAIL_x,HA_CEN_x,SIG_HA_N,SIG_HA_N_ERR,HA_N_FLUX,HA_N_FLUX_ERR,SIG_HA_B,SIG_HA_B_ERR,HA_B_FLUX,HA_B_FLUX_ERR,CATAID,Z_y,HA_REDCHI_EM,HA_FITFAIL_y,HA_CEN_y,SIG_HA,SIG_HA_ERR,VEL_B,VEL_B_ERR
G09_Y4_215_230,3913526,0.16076809,SFGX,ELR,10.84,10.95,11.06,3913526.0,0.5364633,0.0,7617.888594279671,2.1598287,0.4988724,25.748695,7.551164,50.131912,13.785619,121.80888,46.443485,3913526.0,0.16076809,0.57136923,0.0,7617.888594279671,2.210781,0.51391286,3.29510035442782,2.734412357288685
G09_Y4_218_081,3588816,0.31779367,AGNXY,sAGN,10.61,10.61,10.61,3588816.0,0.6817898,0.0,8648.416052713234,5.6675997,2.0275154,314.88107,139.81631,73.43327,20.189383,658.22375,223.27252,3588816.0,0.31779367,0.8023684,0.0,8648.416052713234,6.085859,0.42227823,3.405776996575833,2.8450071755457724
G09_Y4_221_370,3911743,0.23285747,AGNXY,sAGN,10.96,10.96,10.99,3911743.0,0.5599329,0.0,8090.99676781519,4.587355,0.4382905,101.22634,12.588338,21.899652,3.3257556,153.99072,43.98878,3911743.0,0.23285747,0.5811136,0.0,8090.99676781519,5.6716733,0.32716554,2.909255888914438,2.090709006278583
G09_Y4_233_237,3873847,0.26956812,AGNXY,sAGN,10.68,10.79,10.9,3873847.0,0.6908733,0.0,8331.921437781213,5.058416,1.6555185,23.360199,10.196764,17.341642,2.7552745,85.784966,27.937275,3873847.0,0.26956812,0.7202384,0.0,8331.921437781213,8.167215,0.7149773,2.7951657530493867,1.9962404094650397
G09_Y6_074_291,388478,0.2833932,SFGX,UNC,11.02,11.15,11.28,388478.0,0.78194046,0.0,8422.652598770097,4.2687826,0.50728446,85.08471,11.86458,73.5851,28.392015,159.19919,73.17407,388478.0,0.2833932,0.81297326,0.0,8422.652598770097,4.5375905,0.465337,3.4181616992100627,3.0045680305880014
G12_Y1_AN1_388,609308,0.3021271,AGNXY,sAGN,10.81,10.87,10.96,609308.0,0.66747653,0.0,8545.599426126564,4.3568163,0.22065194,154.2967,10.026452,25.033836,1.9878106,207.28867,32.448025,609308.0,0.3021271,0.7911892,0.0,8545.599426126564,5.3246984,0.15743665,2.943605574251477,1.8434531736146882
G12_Y1_AX1_025,22002,0.22532038,AGNXY,sAGN,10.77,10.77,10.77,22002.0,0.7737192,0.0,8041.532366760498,3.5665627,0.0899895,314.9067,10.185585,18.52171,0.32724023,911.5975,28.982231,22002.0,0.22532038,1.6747673,0.0,8041.532366760498,5.841597,0.06628153,2.8391629686694047,1.0863485778623103
G12_Y1_BX1_056,22307,0.23272711,AGNXY,sAGN,10.43,10.45,10.52,22307.0,1.6267341,0.0,8090.141254726683,4.036583,0.026255067,789.3641,7.350969,45.44717,1.2507204,635.17633,26.034657,22307.0,0.23272711,5.6830926,0.0,8090.141254726683,4.3197274,0.023595514,3.2263714432590374,1.666024831928867
G12_Y1_CS2_360,30978,0.2582087,UNCXY,sAGN,11.04,11.12,11.19,30978.0,1.0042951,0.0,8257.371819781149,3.6942031,0.05827055,264.87595,5.8774047,132.26347,36.182606,909.66266,386.60645,30978.0,0.2582087,1.5175486,0.0,8257.371819781149,3.8229363,0.05525645,3.6814187745758846,3.118478705203708
G12_Y1_DS1_219,31058,0.3104086,AGNXY,sAGN,10.97,10.97,10.97,31058.0,2.3152542,0.0,8599.949312091307,4.8630433,0.14852811,397.70053,16.466951,19.551035,0.5257117,937.0991,49.549786,31058.0,0.3104086,2.6359081,0.0,8599.949312091307,6.948739,0.07427319,2.8334945645828693,1.2630724539848086
G12_Y1_EN1_192,70321,0.16978267,UNCXY,sAGN,10.67,10.67,10.67,70321.0,0.54811406,0.0,7677.049465101419,3.016568,0.08839855,92.31153,3.6670656,84.23224,28.440506,135.78078,55.537663,70321.0,0.16978267,0.6288594,0.0,7677.049465101419,3.1422403,0.08258737,3.517104714147183,3.0455636829348354
G12_Y1_END1_084,560402,0.16918035,UNCXY,sAGN,10.5,10.58,10.67,560402.0,0.55586386,0.0,7673.096558321724,3.6518743,0.118629776,174.77747,7.6179357,59.25233,20.764992,115.78428,52.11617,560402.0,0.16918035,0.58978486,0.0,7673.096558321724,3.7789857,0.104606055,3.3645554724578557,2.909181807654804
G12_Y1_FN1_127,560638,0.27044743,AGNXY,sAGN,10.54,10.54,10.54,560638.0,0.6593638,0.0,8337.692200831169,3.9263296,0.26501045,119.07862,9.984446,62.077713,4.711787,588.94556,62.145638,560638.0,0.27044743,1.1711599,0.0,8337.692200831169,3.6518886,0.26670605,3.3487105532502657,2.228960494115856
G12_Y1_GND1_322,8593,0.26283577,AGNXY,sAGN,10.72,10.83,10.92,8593.0,0.69009006,0.0,8287.738297309155,4.739704,0.11986679,215.14217,7.2975526,36.796135,6.390628,85.38953,26.519928,8593.0,0.26283577,0.78370917,0.0,8287.738297309155,4.965829,0.09710107,3.124186877623893,2.3639282119655
G12_Y1_GS1_231,31941,0.062831365,UNCXY,sAGN,9.537,9.657,9.757,31941.0,0.5799649,0.0,6975.149480819365,2.5399048,0.045756932,336.8152,8.208372,19.821478,4.2624063,71.00801,22.77932,31941.0,0.062831365,0.6550125,0.0,6975.149480819365,2.6379576,0.040749203,2.9304032185187556,2.262922028800803
G12_Y1_HN1_160,585613,0.25005513,UNCXY,sAGN,10.77,10.85,10.93,585613.0,0.46608174,0.0,8203.861561338854,3.1116307,0.07180736,238.92737,7.578577,57.787067,20.79796,92.26639,42.607006,585613.0,0.25005513,0.49484822,0.0,8203.861561338854,3.1743884,0.06676541,3.3246330320880486,2.8808231184169704
G12_Y1_HS2_141,138669,0.21676491,AGNXY,wAGN,10.83,10.91,10.98,138669.0,0.87728643,0.0,7985.384490107652,4.7577887,0.7988211,32.045303,6.702433,46.475597,8.584385,117.396904,32.46857,138669.0,0.21676491,0.9809286,0.0,7985.384490107652,5.624398,0.619738,3.2417498481936766,2.5082340580185774
G12_Y1_IN1_394,611780,0.24070317,AGNXY,sAGN,10.77,10.82,10.89,611780.0,0.4994728,0.0,8142.48653531924,4.6454625,0.26363757,107.235176,8.168341,56.519184,6.0129085,318.93338,46.101963,611780.0,0.24070317,0.8461148,0.0,8142.48653531924,5.139972,0.231927,3.3182595369162198,2.345148248977071
G12_Y1_ND2_348,7521,0.25670862,SFGX,ELR,10.92,11.01,11.1,7521.0,0.53042877,0.0,8247.527048727034,2.113312,0.5197621,12.366757,4.035215,43.488953,10.93312,66.32762,21.604889,7521.0,0.25670862,0.5552423,0.0,8247.527048727034,2.3876224,0.4950292,3.198875906505821,2.599241069259467
G12_Y1_ND4_047,560597,0.21854547,AGNXY,sAGN,10.6,10.72,10.78,560597.0,0.43019357,0.0,7997.069997496711,3.6167836,0.26727822,91.712166,8.66004,20.81761,1.3562922,200.45041,22.72864,560597.0,0.21854547,0.5707498,0.0,7997.069997496711,5.430946,0.18893658,2.892320673704167,1.7062430697062099
