SPECID,CATAID_1,Z_x,BPT,WHAN,mass_stellar_percentile50,CATAID_x,HB_REDCHI_EMB,HB_REDCHI_EMABS,HB_FITFAIL_x,HB_MODSEL_EM_LINE_x,HB_MODSEL_EMB_EM,HB_MODSEL_NABS_N,HB_CEN_x,SIG_HB_N,SIG_HB_N_ERR,HB_N_FLUX,HB_N_FLUX_ERR,SIG_HB_B,SIG_HB_B_ERR,HB_B_FLUX,HB_B_FLUX_ERR,HA_REDCHI_EMB,HA_REDCHI_EMABS,HA_FITFAIL_x,HA_MODSEL_EM_LINE_x,HA_MODSEL_EMB_EM,HA_MODSEL_NABS_N,HA_CEN_x,SIG_HA_N,SIG_HA_N_ERR,HA_N_FLUX,HA_N_FLUX_ERR,SIG_HA_B,SIG_HA_B_ERR,HA_B_FLUX,HA_B_FLUX_ERR,CATAID_y,Z_y,HB_REDCHI_ABS,HB_REDCHI_EM,HB_FITFAIL_y,HB_MODSEL_EM_LINE_y,HB_MODSEL_ABS_LINE,HB_MODSEL_EM_ABS,HB_CEN_y,SIG_HB,SIG_HB_ERR,HA_REDCHI_ABS,HA_REDCHI_EM,HA_FITFAIL_y,HA_MODSEL_EM_LINE_y,HA_MODSEL_ABS_LINE,HA_MODSEL_EM_ABS,HA_CEN_y,SIG_HA,SIG_HA_ERR,VEL_B_HA,VEL_B_HA_ERR,BLR_HA
321040660138321920,23104,0.07804239,AGNXY,sAGN,10.43,23104,1.7611713,3.3952038,0.0,201,201,0,5345.829001246087,1.8106875,-0.0,0.0,-0.0,56.27123,2.420459,2650.6382,139.39589,1.6052508,25.434134,0.0,201,201,0,7074.976349771632,6.1684847,0.57295597,394.28586,47.78425,53.802517,0.8082179,8795.523,178.21346,23104,0.07804239,17.477703,3.8064978,0.0,201,0,201,5345.829001246087,8.811118,-0.0,95.97726,25.06067,0.0,201,0,201,7074.976349771632,4.272404,0.28598803,3.357898303880673,1.5346241752355994,True
323152548657653760,55958,0.15719196,AGNXY,sAGN,10.97,55958,3.0049102,3.0087025,0.0,201,0,0,5738.318326227837,2.2291784,0.30047822,176.01129,30.403437,9.458028,-0.0,72.973564,40.17829,1.2155191,3.7712152,0.0,201,201,0,7594.419207209917,3.1383004,0.12520161,1043.4305,52.254032,24.55383,0.65653396,3055.3674,175.7343,55958,0.15719196,35.252457,2.992659,0.0,201,0,201,5738.318326227837,2.478594,0.23474161,75.23668,3.7140803,0.0,201,0,201,7594.419207209917,4.4391623,0.093065076,2.9864453813292977,1.4135833320827587,True
323178112302999552,561225,0.25329715,UNCXY,sAGN,10.75,561225,1.569027,2.1041684,0.0,201,201,0,6214.887584671353,2.355447,0.5738558,20.305595,6.5114913,39.257244,2.1950865,404.3872,29.780369,1.4776113,2.775673,0.0,201,201,0,8225.138265326095,3.178878,0.31529135,80.26018,10.3814,32.77706,0.7947899,1127.1494,41.94799,561225,0.25329715,7.5596046,2.3111231,0.0,201,0,201,6214.887584671353,10.243521,-0.0,34.38518,2.7334037,0.0,201,0,201,8225.138265326095,4.810165,0.22947598,3.0772474918362596,1.46192983527703,True
323243533244852224,751044,0.29325515,AGNXY,sAGN,10.75,751044,1.8174736,7.6201596,0.0,201,201,0,6413.032497452571,2.10266,0.33441496,22.767824,5.082551,55.699673,1.3596759,869.5188,27.329723,1.6213193,9.784187,0.0,201,201,200,8487.374594140187,4.8633876,0.31530488,152.58945,13.228274,57.638447,1.2232409,2504.8582,72.068375,751044,0.29325515,20.71258,7.5604715,0.0,201,0,201,6413.032497452571,10.570107,-0.0,51.36332,10.036207,0.0,201,0,201,8487.374594140187,5.0779953,0.22058474,3.3087596032904725,1.6355593261606187,True
324318855230941184,537289,0.25738645,UNCXY,sAGN,10.94,537289,1.2117143,1.9547498,0.0,201,201,0,6235.165696781846,3.5701494,0.41008264,109.73833,16.437958,30.077848,1.5679035,738.1007,53.971584,1.3386958,2.9888763,0.0,201,201,0,8251.975480576773,4.389986,0.21139728,488.79987,30.979677,31.647163,0.8734291,2180.7578,115.22621,537289,0.25738645,11.530187,1.9394385,0.0,201,0,201,6235.165696781846,10.276943,-0.0,47.51922,2.9530869,0.0,201,0,201,8251.975480576773,4.9277825,0.14605245,3.0605975579670797,1.5014904312584372,True
340062482116667392,47319,0.14519,UNCXY,sAGN,10.83,47319,1.1146885,1.4009945,0.0,201,201,0,5678.802607078463,1.5043633,0.172505,103.974625,14.820197,92.85734,-0.0,978.36615,95.3347,2.1135218,4.235732,0.0,201,201,0,7515.652694977048,3.6149378,0.07309896,872.55084,24.35375,42.03735,1.9438382,1320.5999,93.60769,47319,0.14519,3.5179212,1.3903054,0.0,201,0,201,5678.802607078463,1.6451797,0.17911226,57.89352,4.7142105,0.0,201,0,201,7515.652694977048,4.0229554,0.06281809,3.224489330823445,1.8895141127312098,True
340163637186422784,617634,0.13576049,AGNXY,sAGN,10.9,617634,1.9355563,2.0427647,0.0,201,201,0,5632.043289388222,4.3818355,0.8878926,84.275986,22.084425,28.730556,4.2606816,326.2185,67.64794,1.7926136,6.068843,0.0,201,201,0,7453.768735218365,5.2440267,0.2219583,455.1584,26.470884,36.660133,0.8199468,2510.379,87.56784,617634,0.13576049,15.1929865,2.0262017,0.0,201,0,201,5632.043289388222,9.282864,-0.0,47.905643,6.229508,0.0,201,0,201,7453.768735218365,5.5299993,0.1966276,3.1686388251779776,1.5182304642547242,True
345696929033775104,594304,0.103977285,UNCXY,sAGN,10.59,594304,1.4526541,5.7731633,0.0,201,201,0,5474.435777620177,9.023091,-0.0,251.87825,36.098537,44.579296,1.2492015,3568.8254,137.74464,1.6449745,18.85888,0.0,201,201,0,7245.181925194071,2.7204297,0.30620524,295.51056,43.831917,35.62682,0.30108285,10820.591,149.5302,594304,0.103977285,14.480492,6.6387725,0.0,201,0,201,5474.435777620177,9.023091,-0.0,134.14844,18.749182,0.0,201,0,201,7245.181925194071,5.3954597,0.2055376,3.168548467493173,1.0954574262695111,True
345714521219819520,64474,0.1378672,AGNXY,sAGN,10.64,64474,1.4666511,1.8083377,0.0,201,201,0,5642.490116017201,2.2316222,1.8808831,11.116711,12.173881,42.033466,3.8471591,564.10864,64.701416,1.4048195,6.8433833,0.0,201,201,201,7467.594664052409,5.2056456,0.33870175,321.43314,28.194021,36.24531,0.6490831,3348.4468,101.953064,64474,0.1378672,13.260242,1.904732,0.0,201,0,201,5642.490116017201,9.300082,-0.0,90.238655,7.553048,0.0,201,0,201,7467.594664052409,4.434828,0.2463286,3.1628917847708684,1.4159402678906672,True
346779398214543360,513244,0.11945295,AGNXY,sAGN,11.11,513244,2.4739795,2.440492,0.0,201,0,0,5551.17696872115,4.710223,0.27629104,1220.3878,414.1716,-99999.0,-99999.0,-99999.0,-99999.0,7.272017,7.294848,0.0,201,200,0,7346.745613813019,5.5137615,0.13686995,3407.1067,121.02645,17.099678,1.0176513,1800.247,402.7352,513244,0.11945295,109.35298,2.4567997,0.0,201,0,201,5551.17696872115,4.96891,0.1269306,187.41817,7.327157,0.0,201,0,201,7346.745613813019,5.900237,0.06929226,2.843713632944596,1.6183246922978023,True
346920960336619520,107713,0.2963834,AGNXY,sAGN,10.97,107713,1.5077317,3.0076485,0.0,201,201,0,6428.545087954553,1.003665,-0.0,7.293036,3.8416586,39.116158,1.3955646,425.94724,19.95885,1.0361865,3.0178907,0.0,201,201,0,8507.904845089037,4.0136914,0.6331561,63.44563,13.8247595,39.39647,0.94701546,1375.1549,55.01694,107713,0.2963834,9.707936,3.4336627,0.0,201,0,201,6428.545087954553,10.595675,-0.0,28.795742,2.972165,0.0,201,0,201,8507.904845089037,7.178469,0.5201807,3.142455388889621,1.52335514785334,True
